,Beta,etaPos,etaNeg,p1,p2,p3,p4
0,2.583,0.034,0.036,-1.292,0.014,-0.018,0.048
1,1.684,0.032,0.03,-0.634,-0.04,0.064,0.014
2,1.176,0.041,0.074,-0.376,-0.026,0.039,0.053
3,3.504,0.03,0.022,-0.706,-0.118,0.009,0.057
4,1.232,0.034,0.037,-0.689,-0.091,-0.019,0.066
5,1.501,0.039,0.033,-0.71,-0.046,0.067,0.048
6,1.486,0.029,0.071,-0.81,-0.104,-0.023,0.045
7,1.949,0.035,0.028,-0.73,-0.146,0.037,0.057
8,1.934,0.028,0.021,-1.025,-0.09,-0.005,0.065
9,1.879,0.021,0.043,-0.812,0.063,0.067,0.047
10,1.729,0.017,0.013,-0.748,0.028,-0.095,0.034
11,2.165,0.024,0.049,-1.054,-0.083,0.055,0.075
12,1.696,0.04,0.031,-1.069,-0.057,0.058,0.053
13,1.847,0.041,0.038,-0.427,-0.019,0.071,0.04
14,2.587,0.006,0.003,-0.243,-0.116,0.016,0.049
15,1.945,0.032,0.023,-0.012,-0.08,0.114,0.022
16,1.16,0.02,0.101,-0.905,-0.046,-0.028,0.068
17,2.134,0.048,0.076,-1.496,-0.142,0.03,0.025
18,1.315,0.046,0.022,-0.424,-0.07,-0.004,0.062
19,1.035,0.025,0.061,-0.502,-0.053,0.061,0.043
20,1.776,0.027,0.007,-0.483,-0.074,0.027,0.053
21,1.094,0.053,0.128,-0.227,-0.026,0.08,0.043
22,1.786,0.044,0.106,-0.277,-0.114,-0.01,0.08
23,1.837,0.026,0.039,-1.049,-0.034,0.063,0.005
24,2.198,0.02,0.013,-1.449,0.01,-0.044,0.053
