,Beta,etaPos,etaNeg,m,b
0,3.158,0.005,0.303,0.022,1.054
1,3.225,0.018,0.162,0.022,0.786
2,3.435,0.054,0.353,0.03,1.065
3,3.644,0.018,0.148,0.027,1.025
4,6.514,0.061,0.166,0.032,0.373
5,3.957,0.015,0.021,0.025,0.9
6,3.563,0.026,0.421,0.028,1.166
7,5.72,0.005,0.028,0.048,0.933
8,6.334,0.013,0.098,0.031,0.537
9,3.299,0.025,0.061,0.03,0.74
10,5.307,0.006,0.061,0.025,1.177
11,3.3,0.007,0.074,0.037,0.517
12,2.963,0.029,0.062,0.024,0.554
13,4.07,0.011,0.51,0.023,1.196
14,3.608,0.006,0.039,0.029,0.453
15,5.104,0.005,0.048,0.042,0.976
16,4.879,0.019,0.039,0.029,0.638
17,4.533,0.005,0.016,0.006,1.365
18,3.475,0.015,0.067,0.041,0.572
19,4.188,0.015,0.366,0.023,1.076
20,2.368,0.021,0.145,0.038,0.859
21,4.563,0.027,0.033,0.054,0.665
22,4.296,0.012,0.08,0.04,0.528
23,2.67,0.009,0.402,0.02,0.904
24,4.651,0.008,0.019,0.037,0.392
25,4.333,0.005,0.199,0.025,1.298
26,3.289,0.009,0.056,0.012,1.143
27,3.538,0.013,0.122,0.03,0.918
