,Task,P1,P2,P3,P4
0,loss_pindepstar_fit,0.005,0.0045,0.0,0.9905
1,loss_pindepstar_fit,0.002,0.0095,0.0195,0.969
2,loss_pindepstar_fit,0.003,0.007,0.0415,0.9485
3,loss_pindepstar_fit,0.001,0.002,0.0005,0.9965
4,loss_pindepstar_fit,0.0045,0.0065,0.105,0.884
5,loss_pindepstar_fit,0.0075,0.003,0.6315,0.358
6,loss_pindepstar_fit,0.004,0.004,0.4785,0.5135
7,loss_pindepstar_fit,0.007,0.009,0.0405,0.9435
8,loss_pindepstar_fit,0.0025,0.004,0.007,0.9865
9,loss_pindepstar_fit,0.001,0.021,0.0,0.978
10,loss_pindepstar_fit,0.0035,0.004,0.0015,0.991
11,loss_pindepstar_fit,0.0045,0.008,0.022,0.9655
12,loss_pindepstar_fit,0.004,0.0015,0.0155,0.979
13,loss_pindepstar_fit,0.0065,0.006,0.005,0.9825
14,loss_pindepstar_fit,0.005,0.004,0.0005,0.9905
15,loss_pindepstar_fit,0.0,0.001,0.002,0.997
16,loss_pindepstar_fit,0.0005,0.0035,0.0,0.996
17,loss_pindepstar_fit,0.0055,0.006,0.1985,0.79
18,loss_pindepstar_fit,0.0015,0.0005,0.0255,0.9725
19,loss_pindepstar_fit,0.0055,0.004,0.053,0.9375
20,loss_pindepstar_fit,0.0015,0.003,0.036,0.9595
21,loss_pindepstar_fit,0.0025,0.005,0.0025,0.99
22,loss_pindepstar_fit,0.005,0.0065,0.0035,0.985
23,loss_pindepstar_fit,0.003,0.037,0.891,0.069
24,loss_pindepstar_fit,0.001,0.0075,0.0415,0.95
25,loss_pindepstar_fit,0.0055,0.092,0.9025,0.0
26,loss_pindepstar_fit,0.0045,0.0065,0.017,0.972
27,loss_pindepstar_fit,0.0035,0.0035,0.0065,0.9865
28,loss_pindepstar_fit,0.0035,0.0015,0.003,0.992
29,loss_pindepstar_fit,0.003,0.0095,0.0165,0.971
30,loss_pindepstar_fit,0.03,0.062,0.229,0.679
31,loss_pindepstar_fit,0.0015,0.001,0.0025,0.995
32,loss_pindepstar_fit,0.0095,0.0415,0.1775,0.7715
33,loss_pindepstar_fit,0.0105,0.0225,0.06,0.907
34,loss_pindepstar_fit,0.0065,0.0075,0.023,0.963
35,loss_pindepstar_fit,0.006,0.0045,0.0415,0.948
36,loss_pindepstar_fit,0.002,0.0065,0.063,0.9285
37,loss_pindepstar_fit,0.008,0.005,0.004,0.983
38,loss_pindepstar_fit,0.0145,0.0115,0.014,0.96
39,loss_pindepstar_fit,0.005,0.003,0.021,0.971
40,loss_pindepstar_fit,0.001,0.004,0.1315,0.8635
41,loss_pindepstar_fit,0.002,0.0,0.0015,0.9965
42,loss_pindepstar_fit,0.009,0.008,0.0225,0.9605
43,loss_pindepstar_fit,0.0055,0.0035,0.0055,0.9855
44,loss_pindepstar_fit,0.008,0.018,0.313,0.661
45,loss_pindepstar_fit,0.0005,0.0105,0.2015,0.7875
46,loss_pindepstar_fit,0.009,0.0405,0.1825,0.768
47,loss_pindepstar_fit,0.0165,0.043,0.232,0.7085
48,loss_pindepstar_fit,0.0025,0.0075,0.0075,0.9825
49,loss_pindepstar_fit,0.0325,0.057,0.2565,0.654
50,loss_pindepstar_fit,0.003,0.0015,0.1875,0.808
51,loss_pindepstar_fit,0.008,0.0055,0.024,0.9625
52,loss_pindepstar_fit,0.003,0.006,0.007,0.984
53,loss_pindepstar_fit,0.0035,0.005,0.0065,0.985
54,loss_pindepstar_fit,0.001,0.0,0.003,0.996
55,loss_pindepstar_fit,0.003,0.0075,0.487,0.5025
56,loss_pindepstar_fit,0.0045,0.006,0.0095,0.98
57,loss_pindepstar_fit,0.0,0.0005,0.9995,0.0
58,loss_pindepstar_fit,0.0,0.011,0.0025,0.9865
59,loss_pindepstar_fit,0.0015,0.018,0.005,0.9755
60,loss_pindepstar_fit,0.002,0.0035,0.9945,0.0
61,loss_pindepstar_fit,0.001,0.002,0.0005,0.9965
62,loss_pindepstar_fit,0.0015,0.001,0.005,0.9925
63,loss_pindepstar_fit,0.0035,0.0025,0.9925,0.0015
64,loss_pindepstar_fit,0.003,0.0035,0.0,0.9935
65,loss_pindepstar_fit,0.0065,0.0135,0.347,0.633
66,loss_pindepstar_fit,0.0045,0.012,0.005,0.9785
67,loss_pindepstar_fit,0.0045,0.007,0.0065,0.982
68,loss_pindepstar_fit,0.0,0.005,0.0015,0.9935
69,loss_pindepstar_fit,0.0005,0.0,0.0,0.9995
70,loss_pindepstar_fit,0.0085,0.0135,0.0045,0.9735
71,loss_pindepstar_fit,0.004,0.0025,0.025,0.9685
72,loss_pindepstar_fit,0.0025,0.0035,0.001,0.993
73,loss_pindepstar_fit,0.008,0.007,0.0195,0.9655
74,loss_pindepstar_fit,0.002,0.0015,0.009,0.9875
75,loss_pindepstar_fit,0.0045,0.0025,0.0055,0.9875
76,loss_pindepstar_fit,0.006,0.007,0.338,0.649
77,loss_pindepstar_fit,0.002,0.0015,0.0015,0.995
78,loss_pindepstar_fit,0.006,0.002,0.0155,0.9765
79,loss_pindepstar_fit,0.002,0.003,0.0035,0.9915
80,loss_pindepstar_fit,0.004,0.0015,0.0025,0.992
81,loss_pindepstar_fit,0.007,0.03,0.172,0.791
82,loss_pindepstar_fit,0.003,0.005,0.0115,0.9805
83,loss_pindepstar_fit,0.008,0.0095,0.0185,0.964
84,loss_pindepstar_fit,0.021,0.0355,0.1975,0.746
85,loss_pindepstar_fit,0.006,0.008,0.0125,0.9735
86,loss_pindepstar_fit,0.0035,0.003,0.002,0.9915
87,loss_pindepstar_fit,0.001,0.0015,0.002,0.9955
88,loss_pindepstar_fit,0.006,0.0055,0.9815,0.007
89,loss_pindepstar_fit,0.0015,0.004,0.0045,0.99
90,loss_pindepstar_fit,0.004,0.0025,0.0105,0.983
91,loss_pindepstar_fit,0.008,0.015,0.166,0.811
92,loss_pindepstar_fit,0.002,0.006,0.9455,0.0465
93,loss_pindepstar_fit,0.0255,0.074,0.233,0.6675
94,loss_pindepstar_fit,0.008,0.0115,0.0205,0.96
95,loss_pindepstar_fit,0.0005,0.0005,0.0015,0.9975
96,loss_pindepstar_fit,0.028,0.0715,0.256,0.6445
97,loss_pindepstar_fit,0.005,0.0035,0.0025,0.989
98,loss_pindepstar_fit,0.0035,0.0045,0.0015,0.9905
99,loss_pindepstar_fit,0.0105,0.0175,0.033,0.939
