,Task,P1,P2,P3,P4
0,outcome_pindepstar_fit,0.001,0.001,0.0035,0.9945
1,outcome_pindepstar_fit,0.0055,0.012,0.481,0.5015
2,outcome_pindepstar_fit,0.022,0.072,0.2085,0.6975
3,outcome_pindepstar_fit,0.001,0.001,0.0015,0.9965
4,outcome_pindepstar_fit,0.017,0.081,0.254,0.648
5,outcome_pindepstar_fit,0.0115,0.023,0.0905,0.875
6,outcome_pindepstar_fit,0.01,0.0085,0.1775,0.804
7,outcome_pindepstar_fit,0.0015,0.0025,0.0025,0.9935
8,outcome_pindepstar_fit,0.002,0.0045,0.0085,0.985
9,outcome_pindepstar_fit,0.0035,0.0035,0.0065,0.9865
10,outcome_pindepstar_fit,0.006,0.0105,0.01,0.9735
11,outcome_pindepstar_fit,0.0005,0.005,0.0035,0.991
12,outcome_pindepstar_fit,0.0025,0.01,0.022,0.9655
13,outcome_pindepstar_fit,0.0035,0.006,0.0035,0.987
14,outcome_pindepstar_fit,0.014,0.0145,0.013,0.9585
15,outcome_pindepstar_fit,0.0055,0.0015,0.0035,0.9895
16,outcome_pindepstar_fit,0.008,0.0085,0.018,0.9655
17,outcome_pindepstar_fit,0.0015,0.0,0.0375,0.961
18,outcome_pindepstar_fit,0.011,0.0215,0.1765,0.791
19,outcome_pindepstar_fit,0.0185,0.036,0.2,0.7455
20,outcome_pindepstar_fit,0.0065,0.01,0.0295,0.954
21,outcome_pindepstar_fit,0.0235,0.0895,0.262,0.625
22,outcome_pindepstar_fit,0.0065,0.045,0.338,0.6105
23,outcome_pindepstar_fit,0.0055,0.0135,0.429,0.552
24,outcome_pindepstar_fit,0.0035,0.004,0.0025,0.99
25,,0.007660000000000001,0.01938,0.1113,0.8616600000000001
