,Task,P1,P2,P3,P4
0,random_pindep_fit,38.33%,23.33%,37.00%,1.33%
1,random_pindep_fit,24.00%,32.33%,9.67%,34.00%
2,random_pindep_fit,44.33%,45.33%,10.00%,0.33%
3,random_pindep_fit,13.00%,84.67%,2.00%,0.33%
4,random_pindep_fit,0.00%,100.00%,0.00%,0.00%
5,random_pindep_fit,0.00%,20.33%,79.67%,0.00%
6,random_pindep_fit,59.67%,35.67%,4.67%,0.00%
7,random_pindep_fit,21.67%,61.67%,16.67%,0.00%
8,random_pindep_fit,77.00%,22.67%,0.33%,0.00%
9,random_pindep_fit,15.33%,78.33%,2.67%,3.67%
10,random_pindep_fit,89.33%,4.33%,6.33%,0.00%
11,random_pindep_fit,31.33%,67.67%,0.67%,0.33%
12,random_pindep_fit,17.67%,52.33%,1.33%,28.67%
13,random_pindep_fit,0.00%,0.00%,0.00%,100.00%
14,random_pindep_fit,10.00%,88.33%,0.67%,1.00%
15,random_pindep_fit,0.33%,0.00%,99.67%,0.00%
16,random_pindep_fit,7.67%,82.67%,0.33%,9.33%
17,random_pindep_fit,0.33%,5.00%,3.33%,91.33%
18,random_pindep_fit,24.00%,74.67%,0.00%,1.33%
19,random_pindep_fit,0.00%,7.00%,0.00%,93.00%
20,random_pindep_fit,0.00%,0.00%,0.00%,100.00%
21,random_pindep_fit,67.00%,14.00%,18.33%,0.67%
22,random_pindep_fit,15.33%,84.00%,0.67%,0.00%
23,random_pindep_fit,18.00%,46.33%,35.33%,0.33%
24,random_pindep_fit,8.33%,91.00%,0.33%,0.33%
25,random_pindep_fit,12.33%,55.00%,32.67%,0.00%
26,random_pindep_fit,4.00%,20.33%,58.33%,17.33%
27,random_pindep_fit,1.67%,20.33%,77.67%,0.33%
