,Task,P1,P2,P3,P4
0,reverse_pindep_fit,18.67%,26.00%,54.33%,1.00%
1,reverse_pindep_fit,70.33%,29.33%,0.00%,0.33%
2,reverse_pindep_fit,54.33%,34.67%,10.33%,0.67%
3,reverse_pindep_fit,43.00%,21.67%,31.67%,3.67%
4,reverse_pindep_fit,0.33%,0.67%,98.67%,0.33%
5,reverse_pindep_fit,6.00%,89.33%,4.67%,0.00%
6,reverse_pindep_fit,73.67%,17.33%,4.33%,4.67%
7,reverse_pindep_fit,21.67%,26.33%,51.67%,0.33%
8,reverse_pindep_fit,0.00%,0.33%,0.00%,99.67%
9,reverse_pindep_fit,46.33%,50.67%,2.67%,0.33%
10,reverse_pindep_fit,20.33%,46.00%,24.67%,9.00%
11,reverse_pindep_fit,30.00%,67.33%,1.67%,1.00%
12,reverse_pindep_fit,31.33%,8.00%,46.67%,14.00%
13,reverse_pindep_fit,94.33%,5.33%,0.00%,0.33%
14,reverse_pindep_fit,33.00%,27.00%,9.33%,30.67%
15,reverse_pindep_fit,12.67%,83.33%,2.67%,1.33%
16,reverse_pindep_fit,19.67%,65.67%,14.00%,0.67%
17,reverse_pindep_fit,81.33%,17.00%,0.33%,1.33%
18,reverse_pindep_fit,93.00%,3.00%,4.00%,0.00%
19,reverse_pindep_fit,1.33%,97.33%,1.33%,0.00%
20,reverse_pindep_fit,2.67%,55.00%,42.33%,0.00%
21,reverse_pindep_fit,33.33%,65.67%,1.00%,0.00%
22,reverse_pindep_fit,11.00%,52.67%,25.00%,11.33%
23,reverse_pindep_fit,0.67%,26.33%,73.00%,0.00%
24,reverse_pindep_fit,2.67%,0.33%,23.33%,73.67%
25,reverse_pindep_fit,1.33%,96.33%,0.33%,2.00%
26,reverse_pindep_fit,86.33%,1.33%,6.00%,6.33%
27,reverse_pindep_fit,0.00%,0.33%,99.67%,0.00%
