,Task,P1,P2,P3,P4
0,standard_pindep_fit,27.67%,64.33%,5.67%,2.33%
1,standard_pindep_fit,20.67%,28.00%,4.67%,46.67%
2,standard_pindep_fit,1.00%,15.67%,83.33%,0.00%
3,standard_pindep_fit,18.00%,11.33%,12.67%,58.00%
4,standard_pindep_fit,69.33%,4.00%,23.67%,3.00%
5,standard_pindep_fit,32.00%,63.33%,2.33%,2.33%
6,standard_pindep_fit,75.33%,2.33%,21.00%,1.33%
7,standard_pindep_fit,48.67%,33.00%,2.67%,15.67%
8,standard_pindep_fit,9.33%,69.67%,20.67%,0.33%
9,standard_pindep_fit,59.67%,18.67%,3.00%,18.67%
10,standard_pindep_fit,19.67%,78.00%,1.67%,0.67%
11,standard_pindep_fit,27.33%,48.00%,8.00%,16.67%
12,standard_pindep_fit,10.67%,1.67%,2.33%,85.33%
13,standard_pindep_fit,10.33%,83.33%,3.00%,3.33%
14,standard_pindep_fit,7.00%,89.67%,0.33%,3.00%
15,standard_pindep_fit,10.67%,51.00%,34.67%,3.67%
16,standard_pindep_fit,5.67%,94.33%,0.00%,0.00%
17,standard_pindep_fit,30.00%,29.67%,5.33%,35.00%
18,standard_pindep_fit,13.00%,18.00%,67.00%,2.00%
19,standard_pindep_fit,3.33%,11.67%,12.33%,72.67%
20,standard_pindep_fit,0.33%,0.00%,0.00%,99.67%
21,standard_pindep_fit,46.67%,11.33%,6.33%,35.67%
22,standard_pindep_fit,23.00%,59.33%,17.67%,0.00%
23,standard_pindep_fit,5.33%,94.67%,0.00%,0.00%
24,standard_pindep_fit,1.33%,4.33%,0.33%,94.00%
25,standard_pindep_fit,2.33%,97.00%,0.00%,0.67%
26,standard_pindep_fit,3.33%,90.00%,3.67%,3.00%
27,standard_pindep_fit,1.67%,64.67%,0.00%,33.67%
28,standard_pindep_fit,1.67%,72.33%,26.00%,0.00%
29,standard_pindep_fit,31.33%,52.67%,10.33%,5.67%
30,standard_pindep_fit,21.33%,56.67%,17.67%,4.33%
31,standard_pindep_fit,65.67%,1.67%,1.33%,31.33%
