,Task,P1,P2,P3,P4
0,uncued_pindep_fit,21.00%,79.00%,0.00%,0.00%
1,uncued_pindep_fit,29.00%,44.00%,27.00%,0.00%
2,uncued_pindep_fit,17.33%,24.67%,50.00%,8.00%
3,uncued_pindep_fit,22.00%,62.33%,0.67%,15.00%
4,uncued_pindep_fit,19.00%,79.00%,1.33%,0.67%
5,uncued_pindep_fit,60.00%,37.33%,1.33%,1.33%
6,uncued_pindep_fit,3.67%,96.33%,0.00%,0.00%
7,uncued_pindep_fit,94.67%,4.33%,1.00%,0.00%
8,uncued_pindep_fit,52.00%,44.33%,0.67%,3.00%
9,uncued_pindep_fit,55.00%,39.00%,6.00%,0.00%
10,uncued_pindep_fit,35.33%,60.33%,4.00%,0.33%
11,uncued_pindep_fit,38.00%,13.00%,49.00%,0.00%
12,uncued_pindep_fit,51.00%,48.67%,0.00%,0.33%
13,uncued_pindep_fit,12.67%,83.33%,3.67%,0.33%
14,uncued_pindep_fit,5.33%,75.67%,5.33%,13.67%
15,uncued_pindep_fit,56.33%,40.33%,2.33%,1.00%
16,uncued_pindep_fit,40.33%,56.67%,1.33%,1.67%
17,uncued_pindep_fit,30.00%,66.00%,2.67%,1.33%
18,uncued_pindep_fit,45.33%,37.33%,14.67%,2.67%
19,uncued_pindep_fit,16.33%,82.33%,0.67%,0.67%
20,uncued_pindep_fit,9.00%,7.33%,80.00%,3.67%
21,uncued_pindep_fit,27.67%,71.33%,0.67%,0.33%
22,uncued_pindep_fit,0.00%,0.00%,0.00%,100.00%
23,uncued_pindep_fit,36.33%,50.33%,0.67%,12.67%
