,Task,P1,P2,P3,P4
0,uncued_pindepstar_fit,0.004,0.007,0.03,0.959
1,uncued_pindepstar_fit,0.0035,0.002,0.002,0.9925
2,uncued_pindepstar_fit,0.008,0.0155,0.0375,0.939
3,uncued_pindepstar_fit,0.001,0.0,0.001,0.998
4,uncued_pindepstar_fit,0.0025,0.002,0.991,0.0045
5,uncued_pindepstar_fit,0.01,0.014,0.1445,0.8315
6,uncued_pindepstar_fit,0.005,0.0035,0.977,0.0145
7,uncued_pindepstar_fit,0.005,0.0105,0.009,0.9755
8,uncued_pindepstar_fit,0.004,0.01,0.0225,0.9635
9,uncued_pindepstar_fit,0.0035,0.003,0.011,0.9825
10,uncued_pindepstar_fit,0.0015,0.0085,0.163,0.827
11,uncued_pindepstar_fit,0.003,0.003,0.9915,0.0025
12,uncued_pindepstar_fit,0.0045,0.0065,0.0035,0.9855
13,uncued_pindepstar_fit,0.002,0.0045,0.9905,0.003
14,uncued_pindepstar_fit,0.009,0.0155,0.037,0.9385
15,uncued_pindepstar_fit,0.011,0.006,0.0825,0.9005
16,uncued_pindepstar_fit,0.0035,0.01,0.0095,0.977
17,uncued_pindepstar_fit,0.0115,0.019,0.088,0.8815
18,uncued_pindepstar_fit,0.006,0.007,0.0275,0.9595
19,uncued_pindepstar_fit,0.008,0.015,0.0145,0.9625
20,uncued_pindepstar_fit,0.006,0.004,0.9825,0.0075
21,uncued_pindepstar_fit,0.008,0.0055,0.007,0.9795
22,uncued_pindepstar_fit,0.0035,0.004,0.004,0.9885
23,uncued_pindepstar_fit,0.011,0.0085,0.0185,0.962
24,,0.0056250000000000015,0.0076875000000000025,0.23520833333333327,0.7514791666666666
