,Task,P1,P2,P3,P4
0,uncued_pscale_fit,36.33%,62.33%,0.67%,0.67%
1,uncued_pscale_fit,0.67%,99.33%,0.00%,0.00%
2,uncued_pscale_fit,23.00%,65.67%,8.33%,3.00%
3,uncued_pscale_fit,30.33%,68.00%,1.33%,0.33%
4,uncued_pscale_fit,52.00%,43.33%,4.00%,0.67%
5,uncued_pscale_fit,40.00%,45.00%,10.67%,4.33%
6,uncued_pscale_fit,97.67%,2.33%,0.00%,0.00%
7,uncued_pscale_fit,26.00%,47.00%,14.67%,12.33%
8,uncued_pscale_fit,44.33%,47.00%,6.33%,2.33%
9,uncued_pscale_fit,54.33%,38.33%,5.33%,2.00%
10,uncued_pscale_fit,39.67%,56.33%,3.67%,0.33%
11,uncued_pscale_fit,48.67%,43.67%,5.33%,2.33%
12,uncued_pscale_fit,45.33%,51.67%,2.67%,0.33%
13,uncued_pscale_fit,15.67%,78.00%,4.67%,1.67%
14,uncued_pscale_fit,36.00%,52.67%,9.67%,1.67%
15,uncued_pscale_fit,48.33%,45.67%,4.00%,2.00%
16,uncued_pscale_fit,1.67%,97.67%,0.33%,0.33%
17,uncued_pscale_fit,22.67%,65.33%,11.67%,0.33%
18,uncued_pscale_fit,1.33%,97.67%,0.67%,0.33%
19,uncued_pscale_fit,36.67%,48.00%,11.00%,4.33%
20,uncued_pscale_fit,56.67%,35.67%,5.33%,2.33%
21,uncued_pscale_fit,2.67%,97.33%,0.00%,0.00%
22,uncued_pscale_fit,52.00%,37.67%,8.00%,2.33%
23,uncued_pscale_fit,18.67%,43.67%,24.33%,13.33%
