Subject,task
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,0
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,0
310,0
311,1
312,1
313,0
314,0
315,1
316,1
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,4
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,1
401,5
402,5
403,2
404,3
405,5
406,5
407,4
408,2
409,5
410,5
411,3
412,4
413,5
414,5
415,2
416,3
417,5
418,5
419,4
420,2
421,5
422,5
423,3
424,4
425,5
426,5
427,2
428,3
429,5
430,5
431,4
432,2
433,3
434,4
435,5
436,5
437,2
438,3
439,5
440,5
441,4
442,2
443,5
444,5
445,3
446,4
447,5
448,5
449,2
450,3
451,5
452,5
453,4
454,2
455,5
456,5
457,3
458,4
459,2
460,3
461,4
462,2
463,3
464,4
