name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-150000.0,1.4,24.0,-150000.0,-150000.0,-150000.0,310.0,0.00088,1.0
mu_pr[1],-1.9,0.0034,0.032,-2.0,-1.9,-1.9,90.0,0.00025,1.0
mu_pr[2],-2.4,0.0083,0.043,-2.4,-2.4,-2.3,27.0,7.6e-05,1.2
mu_pr[3],-2.3,0.0062,0.058,-2.4,-2.3,-2.2,87.0,0.00025,1.0
mu_pr[4],0.077,0.002,0.021,0.043,0.075,0.11,112.0,0.00032,1.0
mu_pr[5],-0.72,0.047,0.6,-1.7,-0.72,0.28,168.0,0.00048,1.0
sigma[1],0.34,0.0017,0.027,0.29,0.34,0.38,243.0,0.00069,1.0
sigma[2],0.4,0.0027,0.033,0.35,0.4,0.46,146.0,0.00041,1.0
sigma[3],0.53,0.0026,0.041,0.46,0.52,0.6,239.0,0.00068,1.0
sigma[4],0.18,0.0013,0.023,0.14,0.17,0.22,307.0,0.00087,1.0
sigma[5],6.8,0.044,0.83,5.5,6.8,8.3,354.0,0.001,1.0
beta_samp[1],-0.74,0.017,0.38,-1.3,-0.75,-0.098,525.0,0.0015,1.0
beta_samp[2],-1.3,0.018,0.34,-1.9,-1.3,-0.77,364.0,0.001,1.0
beta_samp[3],0.13,0.023,0.5,-0.72,0.14,0.91,488.0,0.0014,1.0
beta_samp[4],-0.76,0.011,0.18,-1.1,-0.75,-0.47,246.0,0.0007,1.0
beta_samp[5],0.022,0.011,0.13,-0.2,0.023,0.24,153.0,0.00043,1.0
beta_samp[6],-0.71,0.027,0.48,-1.5,-0.71,0.081,312.0,0.00088,1.0
beta_samp[7],2.7,0.017,0.3,2.2,2.6,3.1,296.0,0.00084,1.0
beta_samp[8],-0.81,0.011,0.13,-1.0,-0.81,-0.61,127.0,0.00036,1.0
beta_samp[9],0.41,0.039,0.69,-0.96,0.47,1.4,314.0,0.00089,1.0
beta_samp[10],2.1,0.017,0.36,1.5,2.1,2.7,469.0,0.0013,1.0
beta_samp[11],0.17,0.012,0.16,-0.083,0.17,0.44,181.0,0.00051,1.0
beta_samp[12],0.33,0.012,0.24,-0.074,0.33,0.72,388.0,0.0011,1.0
beta_samp[13],-0.8,0.012,0.16,-1.1,-0.79,-0.53,190.0,0.00054,1.0
