,Subject,Beta,etaPos,etaNeg,p1,p2,p3,p4,Actual Subject,Task
0,120.0,2.784,0.017,0.08,0.122,-0.084,0.031,0.016,330.0,0.0
1,116.0,2.389,0.026,0.029,-1.469,0.034,-0.032,0.054,326.0,0.0
2,104.0,1.991,0.017,0.036,-0.754,-0.035,0.019,0.04,314.0,0.0
3,103.0,2.16,0.015,0.037,-0.622,-0.058,0.032,0.013,313.0,0.0
4,119.0,2.282,0.022,0.087,-0.139,-0.026,0.043,0.063,329.0,0.0
5,68.0,2.907,0.011,0.008,-0.113,0.006,-0.034,0.041,202.0,0.0
6,131.0,5.24,0.007,0.009,-0.681,0.024,0.024,-0.048,401.0,0.0
7,132.0,2.086,0.009,0.06,-0.362,-0.112,0.044,-0.016,402.0,0.0
8,133.0,3.681,0.031,0.031,-0.745,0.005,0.004,0.031,403.0,0.0
9,134.0,2.822,0.027,0.021,-1.47,0.052,0.029,0.013,404.0,0.0
10,135.0,2.006,0.017,0.011,-1.13,0.055,-0.005,0.069,405.0,0.0
11,136.0,1.798,0.016,0.004,-0.346,-0.01,0.004,0.02,406.0,0.0
12,137.0,2.612,0.01,0.002,-0.382,-0.027,0.004,0.018,407.0,0.0
13,138.0,2.202,0.025,0.205,-0.033,0.09,0.016,-0.005,408.0,0.0
14,115.0,1.674,0.01,0.675,-0.069,-0.074,0.042,0.042,325.0,0.0
15,100.0,2.743,0.008,0.547,-0.003,-0.119,-0.031,-0.018,310.0,0.0
16,87.0,1.553,0.046,0.472,-0.093,-0.068,0.022,0.007,224.0,0.0
17,85.0,1.426,0.019,0.262,-0.108,-0.042,0.021,0.012,222.0,0.0
18,70.0,1.89,0.038,0.039,-0.746,-0.041,0.034,0.032,204.0,0.0
19,83.0,1.655,0.024,0.47,-0.246,-0.074,0.027,0.009,220.0,0.0
20,160.0,2.949,0.008,0.006,-0.48,-0.013,-0.009,0.052,416.0,0.0
21,81.0,2.93,0.018,0.016,-0.98,0.005,0.021,0.037,218.0,0.0
22,159.0,1.982,0.014,0.014,-0.155,-0.036,0.018,0.016,415.0,0.0
23,99.0,4.517,0.004,0.121,0.212,0.008,0.079,0.081,309.0,0.0
24,69.0,2.298,0.099,0.217,-0.168,0.101,0.004,-0.02,203.0,1.0
25,71.0,2.178,0.033,0.097,-0.046,-0.011,0.025,0.015,205.0,1.0
26,72.0,2.985,0.005,0.002,-0.254,-0.044,0.008,0.035,207.0,1.0
27,101.0,2.387,0.005,0.085,0.261,0.022,0.017,0.071,311.0,1.0
28,80.0,2.004,0.009,0.334,-0.126,0.073,-0.02,0.018,217.0,1.0
29,163.0,3.056,0.016,0.034,-1.254,-0.057,-0.008,-0.011,431.0,1.0
30,84.0,1.557,0.037,0.028,-0.214,-0.026,-0.006,0.045,221.0,1.0
31,86.0,1.964,0.021,0.004,-0.335,-0.04,0.022,0.032,223.0,1.0
32,102.0,1.672,0.024,0.093,-0.875,0.034,0.028,-0.005,312.0,1.0
33,105.0,3.386,0.041,0.035,-0.631,-0.005,0.052,0.035,315.0,1.0
34,82.0,1.707,0.021,0.11,-0.565,-0.093,0.035,-0.019,219.0,1.0
35,117.0,2.491,0.006,0.016,-0.822,0.033,-0.008,-0.034,327.0,1.0
36,162.0,3.173,0.012,0.016,-0.394,-0.114,0.023,0.03,430.0,1.0
37,161.0,3.933,0.008,0.007,-0.878,0.007,0.021,0.008,429.0,1.0
38,150.0,3.958,0.005,0.007,-1.026,-0.007,0.031,0.013,424.0,1.0
39,149.0,2.534,0.017,0.121,-0.247,-0.025,-0.037,-0.019,423.0,1.0
40,148.0,1.877,0.047,0.202,-0.827,0.047,0.015,-0.042,422.0,1.0
41,147.0,1.91,0.014,0.17,-0.157,-0.116,-0.023,-0.002,421.0,1.0
42,146.0,2.92,0.036,0.051,-0.786,-0.041,-0.0,0.006,420.0,1.0
43,145.0,2.392,0.014,0.037,0.079,-0.129,-0.023,0.066,419.0,1.0
44,144.0,4.264,0.002,0.008,-0.676,-0.125,0.063,-0.023,418.0,1.0
45,143.0,2.464,0.006,0.006,0.083,-0.074,0.029,0.022,417.0,1.0
46,142.0,3.406,0.007,0.009,-0.636,-0.021,0.021,0.01,428.0,1.0
47,141.0,2.05,0.02,0.008,-0.933,-0.034,0.029,-0.037,427.0,1.0
48,140.0,2.656,0.047,0.163,0.216,-0.108,0.042,0.016,426.0,1.0
49,139.0,2.592,0.033,0.048,-0.528,-0.04,0.004,0.079,425.0,1.0
50,122.0,2.282,0.016,0.015,-0.151,-0.029,0.003,0.042,332.0,1.0
51,121.0,2.261,0.008,0.083,0.326,-0.018,0.055,0.033,331.0,1.0
52,118.0,2.378,0.004,0.2,0.246,0.034,0.051,0.04,328.0,1.0
53,106.0,1.27,0.03,0.069,-0.539,-0.105,0.02,0.005,316.0,1.0
54,67.0,2.994,0.02,0.02,-1.181,-0.07,-0.001,0.07,201.0,1.0
55,164.0,3.388,0.014,0.008,-1.026,-0.011,-0.02,0.036,432.0,1.0
56,155.0,2.126,0.01,0.026,-0.805,0.085,-0.003,0.035,437.0,2.0
57,158.0,4.463,0.034,0.041,-0.057,0.071,0.03,0.06,440.0,2.0
58,32.0,1.871,0.034,0.05,-0.413,-0.023,0.031,0.022,149.0,2.0
59,42.0,1.607,0.031,0.361,-0.585,-0.143,0.006,0.02,103.0,2.0
