Index,Subject,Beta,eta,p1,p2,p3,p4,Actual Subject,Task
120,120.0,2.535,0.023,0.152,-0.029,0.084,0.054,330.0,0.0
116,116.0,2.271,0.027,-1.591,0.056,-0.031,0.07,326.0,0.0
104,104.0,1.891,0.019,-1.134,0.042,0.049,0.081,314.0,0.0
103,103.0,1.928,0.017,-1.028,0.016,0.091,0.043,313.0,0.0
119,119.0,2.208,0.026,-0.458,0.081,0.111,0.137,329.0,0.0
68,68.0,2.995,0.009,0.117,0.07,-0.032,0.027,202.0,0.0
131,131.0,5.402,0.007,-0.68,0.066,0.06,-0.058,401.0,0.0
132,132.0,1.798,0.017,-1.11,-0.045,0.164,0.006,402.0,0.0
133,133.0,3.688,0.031,-0.699,0.013,0.004,0.069,403.0,0.0
134,134.0,2.822,0.026,-1.106,0.02,0.038,0.001,404.0,0.0
135,135.0,2.156,0.015,-0.509,0.082,-0.01,0.077,405.0,0.0
136,136.0,2.254,0.014,0.043,0.132,-0.016,-0.012,406.0,0.0
137,137.0,3.212,0.008,-0.212,-0.03,-0.017,-0.014,407.0,0.0
138,138.0,2.116,0.028,-0.873,0.324,0.025,0.011,408.0,0.0
115,115.0,1.561,0.057,-0.742,-0.054,0.095,0.083,325.0,0.0
100,100.0,2.401,0.015,-0.595,-0.064,-0.008,-0.003,310.0,0.0
87,87.0,1.128,0.069,-0.183,0.048,0.094,0.056,224.0,0.0
85,85.0,1.324,0.018,-0.502,0.023,0.064,0.045,222.0,0.0
70,70.0,1.811,0.039,-0.685,-0.042,0.034,0.033,204.0,0.0
83,83.0,1.525,0.038,-0.965,0.078,0.116,0.062,220.0,0.0
160,160.0,3.31,0.008,-0.26,0.019,-0.006,0.034,416.0,0.0
81,81.0,2.956,0.018,-0.733,0.021,0.028,0.055,218.0,0.0
159,159.0,2.059,0.015,0.249,-0.035,-0.005,0.002,415.0,0.0
99,99.0,6.207,0.004,-1.637,0.189,0.11,0.157,309.0,0.0
69,69.0,1.861,0.116,-0.273,0.275,0.03,-0.01,203.0,1.0
71,71.0,2.166,0.039,-0.029,0.055,0.046,0.025,205.0,1.0
72,72.0,2.997,0.004,0.258,-0.084,0.005,0.044,207.0,1.0
101,101.0,1.638,0.026,-0.084,-0.053,0.022,0.159,311.0,1.0
80,80.0,2.333,0.016,-1.1,0.185,-0.011,-0.004,217.0,1.0
163,163.0,2.535,0.02,-1.369,-0.055,0.011,-0.003,431.0,1.0
84,84.0,1.602,0.026,0.028,0.001,-0.021,0.056,221.0,1.0
86,86.0,2.566,0.013,0.214,-0.006,-0.018,0.02,223.0,1.0
102,102.0,1.534,0.026,-1.267,0.165,0.069,0.011,312.0,1.0
105,105.0,3.158,0.038,-0.457,-0.04,0.069,0.045,315.0,1.0
82,82.0,1.678,0.038,-1.679,-0.04,0.09,0.007,219.0,1.0
117,117.0,1.923,0.012,-1.173,0.145,0.004,-0.04,327.0,1.0
162,162.0,3.019,0.012,-0.494,-0.155,0.025,0.033,430.0,1.0
161,161.0,4.047,0.008,-0.652,0.03,0.029,0.007,429.0,1.0
150,150.0,4.01,0.005,-1.118,0.038,0.07,0.025,424.0,1.0
149,149.0,1.184,0.087,-0.779,0.104,-0.059,-0.01,423.0,1.0
148,148.0,2.093,0.052,-1.759,0.153,0.05,-0.02,422.0,1.0
147,147.0,1.449,0.03,-0.196,-0.066,0.018,0.039,421.0,1.0
146,146.0,2.744,0.039,-0.946,-0.013,0.012,0.015,420.0,1.0
145,145.0,2.097,0.021,0.278,-0.173,-0.011,0.141,419.0,1.0
144,144.0,4.356,0.003,-1.266,-0.042,0.136,-0.024,418.0,1.0
143,143.0,2.341,0.006,0.363,-0.074,0.027,0.017,417.0,1.0
142,142.0,3.362,0.007,-0.573,0.005,0.04,0.014,428.0,1.0
141,141.0,2.516,0.014,-1.167,-0.125,-0.02,-0.054,427.0,1.0
140,140.0,2.574,0.06,0.467,-0.087,0.092,0.026,426.0,1.0
139,139.0,2.388,0.034,-0.287,-0.036,0.001,0.129,425.0,1.0
122,122.0,2.449,0.016,0.272,-0.004,0.006,0.026,332.0,1.0
121,121.0,2.08,0.014,0.474,0.04,0.126,0.081,331.0,1.0
118,118.0,1.727,0.014,-0.037,-0.043,0.092,0.079,328.0,1.0
106,106.0,1.175,0.033,-0.788,-0.128,0.035,0.016,316.0,1.0
67,67.0,2.629,0.02,-1.16,-0.12,0.005,0.12,201.0,1.0
164,164.0,3.45,0.012,-0.725,-0.093,-0.033,0.029,432.0,1.0
155,155.0,1.839,0.01,-0.597,0.143,-0.011,0.056,437.0,2.0
158,158.0,2.541,0.041,-0.046,0.101,0.043,0.08,440.0,2.0
32,32.0,1.747,0.034,-0.351,0.027,0.053,0.036,149.0,2.0
42,42.0,1.737,0.046,-1.75,-0.041,0.046,0.066,103.0,2.0
156,156.0,2.464,0.009,-0.385,-0.131,0.03,0.081,438.0,2.0
130,130.0,3.286,0.006,-0.474,0.11,0.091,0.171,448.0,2.0
129,129.0,4.081,0.009,-0.558,0.118,-0.021,0.008,447.0,2.0
128,128.0,3.798,0.003,-1.003,0.058,0.05,0.059,446.0,2.0
