name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-11000.0,0.59,12.0,-12000.0,-11000.0,-11000.0,390.0,0.029,1.0
mu_pr[1],-1.6,0.0055,0.087,-1.7,-1.6,-1.4,251.0,0.019,1.0
mu_pr[2],-2.3,0.0069,0.089,-2.4,-2.3,-2.1,166.0,0.012,1.0
mu_pr[3],-1.4,0.003,0.069,-1.5,-1.4,-1.3,542.0,0.041,1.0
mu_pr[4],0.0078,0.00015,0.0024,0.0044,0.0075,0.012,269.0,0.02,1.0
sigma[1],0.32,0.0031,0.062,0.23,0.32,0.44,392.0,0.029,1.0
sigma[2],0.39,0.0027,0.068,0.3,0.38,0.52,647.0,0.049,1.0
sigma[3],0.33,0.0031,0.064,0.24,0.32,0.44,434.0,0.033,1.0
sigma[4],0.0058,0.00027,0.0021,0.0029,0.0054,0.0098,62.0,0.0047,1.0
beta_samp[1],0.29,0.035,0.47,-0.38,0.25,1.1,174.0,0.013,1.0
beta_samp[2],-0.75,0.044,0.44,-1.5,-0.77,0.015,98.0,0.0074,1.1
beta_samp[3],-0.66,0.04,0.54,-1.4,-0.74,0.41,185.0,0.014,1.0
beta_samp[4],0.059,0.017,0.56,-0.76,-0.00063,1.1,1116.0,0.084,1.0
beta_samp[5],1.7,0.016,0.59,0.83,1.7,2.7,1353.0,0.1,1.0
beta_samp[6],0.076,0.067,0.53,-0.74,0.039,1.0,63.0,0.0047,1.0
beta_samp[7],0.29,0.08,0.58,-0.63,0.27,1.3,53.0,0.004,1.0
beta_samp[8],0.089,0.04,0.64,-0.82,0.025,1.2,253.0,0.019,1.0
beta_samp[9],-0.81,0.029,0.47,-1.5,-0.86,0.025,258.0,0.019,1.0
beta_samp[10],-0.32,0.021,0.32,-0.83,-0.33,0.22,236.0,0.018,1.0
beta_samp[11],-0.65,0.059,0.67,-1.6,-0.74,0.63,131.0,0.0098,1.0
beta_samp[12],-1.1,0.018,0.38,-1.7,-1.1,-0.43,452.0,0.034,1.0
beta_samp[13],-1.5,0.057,0.68,-2.3,-1.6,0.08,144.0,0.011,1.0
beta_samp[14],-0.41,0.046,0.51,-1.1,-0.48,0.62,123.0,0.0093,1.0
beta_samp[15],0.37,0.026,0.57,-0.46,0.31,1.4,471.0,0.035,1.0
beta_samp[16],2.1,0.025,0.6,1.1,2.1,3.1,577.0,0.043,1.0
beta_samp[17],1.3,0.024,0.54,0.46,1.2,2.2,507.0,0.038,1.0
beta_samp[18],-0.39,0.03,0.57,-1.2,-0.44,0.6,375.0,0.028,1.0
beta_samp[19],-0.23,0.026,0.3,-0.71,-0.23,0.25,132.0,0.0099,1.0
beta_samp[20],-0.31,0.092,0.65,-1.3,-0.34,0.83,51.0,0.0038,1.1
beta_samp[21],0.34,0.048,0.49,-0.42,0.29,1.2,106.0,0.0079,1.1
beta_samp[22],-0.49,0.017,0.35,-1.0,-0.51,0.1,449.0,0.034,1.0
beta_samp[23],0.032,0.041,0.59,-0.81,-0.042,1.1,199.0,0.015,1.0
beta_samp[24],-0.88,0.026,0.37,-1.5,-0.9,-0.28,198.0,0.015,1.0
beta_samp[25],1.2,0.031,0.58,0.39,1.2,2.3,344.0,0.026,1.0
beta_samp[26],-0.76,0.016,0.37,-1.3,-0.76,-0.13,534.0,0.04,1.0
beta_samp[27],0.77,0.071,0.64,-0.17,0.71,2.0,83.0,0.0063,1.0
beta_samp[28],0.69,0.02,0.54,-0.14,0.65,1.6,734.0,0.055,1.0
etaPositive_samp[1],0.067,0.015,0.38,-0.52,0.057,0.7,588.0,0.044,1.0
etaPositive_samp[2],0.081,0.028,0.43,-0.63,0.088,0.76,237.0,0.018,1.0
etaPositive_samp[3],0.31,0.027,0.45,-0.47,0.35,1.0,268.0,0.02,1.0
etaPositive_samp[4],-0.46,0.028,0.45,-1.2,-0.45,0.31,270.0,0.02,1.0
etaPositive_samp[5],-1.4,0.018,0.35,-2.0,-1.4,-0.83,367.0,0.028,1.0
etaPositive_samp[6],-0.84,0.018,0.4,-1.5,-0.83,-0.21,472.0,0.035,1.0
etaPositive_samp[7],-1.2,0.017,0.49,-2.0,-1.1,-0.41,849.0,0.064,1.0
etaPositive_samp[8],-0.45,0.021,0.44,-1.2,-0.44,0.27,433.0,0.033,1.0
etaPositive_samp[9],0.39,0.027,0.44,-0.4,0.41,1.1,262.0,0.02,1.0
etaPositive_samp[10],1.7,0.022,0.47,0.92,1.7,2.5,474.0,0.036,1.0
etaPositive_samp[11],0.36,0.04,0.5,-0.49,0.37,1.2,156.0,0.012,1.0
etaPositive_samp[12],0.7,0.024,0.41,0.00024,0.71,1.3,282.0,0.021,1.0
etaPositive_samp[13],1.3,0.073,0.83,-0.8,1.5,2.2,127.0,0.0096,1.0
