name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-120000.0,830.0,1400.0,-130000.0,-120000.0,-120000.0,2.9,1e-05,2.3
mu_pr[1],-1.8,0.058,0.1,-1.9,-1.9,-1.5,3.2,1.2e-05,2.2
mu_pr[2],-2.4,0.094,0.15,-2.8,-2.4,-2.3,2.4,8.7e-06,3.0
mu_pr[3],-2.2,0.073,0.11,-2.4,-2.3,-2.0,2.5,8.9e-06,2.8
mu_pr[4],0.05,0.022,0.033,-0.0029,0.059,0.094,2.3,8.6e-06,3.0
sigma[1],0.27,0.073,0.12,0.016,0.32,0.39,2.5,9.3e-06,3.1
sigma[2],0.25,0.098,0.14,0.00025,0.32,0.38,2.1,7.8e-06,4.6
sigma[3],0.37,0.077,0.13,0.11,0.4,0.52,2.6,9.6e-06,2.7
sigma[4],0.06,0.023,0.035,0.0035,0.071,0.11,2.3,8.6e-06,3.0
beta_samp[1],0.21,0.18,0.37,-0.34,0.18,0.84,4.3,1.6e-05,1.4
beta_samp[2],-0.077,0.34,0.63,-1.6,0.14,0.54,3.5,1.3e-05,2.2
beta_samp[3],-0.98,0.18,0.34,-1.6,-0.95,-0.52,3.6,1.3e-05,1.6
beta_samp[4],-0.38,0.5,0.91,-1.1,-0.72,1.9,3.3,1.2e-05,2.9
beta_samp[5],-0.29,0.15,0.48,-1.6,-0.2,0.29,11.0,4e-05,1.9
beta_samp[6],0.38,0.037,0.31,-0.054,0.34,0.96,68.0,0.00025,1.1
beta_samp[7],1.6,0.45,0.87,-0.91,1.7,2.7,3.8,1.4e-05,1.9
beta_samp[8],-0.96,0.055,0.29,-1.5,-0.91,-0.54,28.0,0.0001,1.1
beta_samp[9],-0.76,0.11,0.49,-1.4,-0.89,0.2,21.0,7.7e-05,1.2
beta_samp[10],0.76,0.65,1.0,-0.27,0.17,2.6,2.4,8.8e-06,2.9
beta_samp[11],0.37,0.57,0.83,-0.39,0.032,1.9,2.1,7.8e-06,4.1
beta_samp[12],-0.027,0.23,0.47,-0.62,-0.15,0.93,4.4,1.6e-05,1.7
beta_samp[13],-0.91,0.21,0.45,-1.9,-0.87,-0.25,4.7,1.7e-05,1.7
