name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-160000.0,2700.0,3900.0,-160000.0,-160000.0,-150000.0,2.0,5.2e-06,45.0
mu_pr[1],-1.8,0.085,0.12,-1.9,-1.8,-1.5,2.1,5.5e-06,4.6
mu_pr[2],-2.5,0.14,0.2,-2.8,-2.4,-2.3,2.1,5.4e-06,6.0
mu_pr[3],-2.2,0.056,0.09,-2.4,-2.3,-2.1,2.5,6.6e-06,2.2
mu_pr[4],0.042,0.02,0.029,-0.0061,0.053,0.075,2.2,5.7e-06,3.6
sigma[1],0.25,0.1,0.15,0.00098,0.32,0.38,2.1,5.3e-06,6.6
sigma[2],0.29,0.12,0.17,7.3e-05,0.37,0.43,2.0,5.3e-06,7.0
sigma[3],0.35,0.13,0.18,0.023,0.43,0.51,2.1,5.4e-06,5.8
sigma[4],0.058,0.024,0.035,2.9e-06,0.072,0.095,2.1,5.6e-06,4.0
beta_samp[1],0.24,0.23,0.4,-0.37,0.28,0.87,3.1,8.1e-06,1.7
beta_samp[2],0.35,0.17,0.31,-0.089,0.3,0.95,3.2,8.2e-06,1.8
beta_samp[3],-0.96,0.042,0.21,-1.3,-0.98,-0.56,25.0,6.5e-05,1.2
beta_samp[4],-0.97,0.11,0.22,-1.3,-0.96,-0.61,3.6,9.5e-06,1.5
beta_samp[5],-0.24,0.014,0.14,-0.47,-0.23,-0.0096,90.0,0.00023,1.0
beta_samp[6],0.11,0.35,0.56,-0.77,0.23,0.94,2.6,6.8e-06,2.0
beta_samp[7],0.99,0.89,1.3,-1.2,1.6,2.1,2.1,5.3e-06,6.6
beta_samp[8],-1.2,0.28,0.41,-1.9,-1.0,-0.79,2.1,5.6e-06,3.9
beta_samp[9],-0.3,0.72,1.1,-1.4,-0.8,1.5,2.3,6.1e-06,2.6
beta_samp[10],-0.098,0.052,0.13,-0.33,-0.11,0.12,6.0,1.6e-05,1.3
beta_samp[11],0.3,0.4,0.59,-0.27,0.046,1.5,2.2,5.7e-06,4.0
beta_samp[12],0.14,0.66,0.95,-0.74,-0.29,1.8,2.1,5.5e-06,4.6
beta_samp[13],-0.82,0.22,0.34,-1.2,-0.92,-0.25,2.4,6.2e-06,2.5
beta_samp[14],1.0,0.54,0.8,-0.35,1.3,1.9,2.2,5.7e-06,3.4
beta_samp[15],1.1,0.79,1.2,-0.9,1.5,2.5,2.3,5.9e-06,2.8
beta_samp[16],-0.18,0.43,0.62,-0.7,-0.48,0.96,2.1,5.4e-06,6.1
beta_samp[17],1.0,0.83,1.3,-1.2,1.4,2.6,2.3,6e-06,2.7
beta_samp[18],-0.74,0.27,0.39,-1.5,-0.59,-0.33,2.2,5.7e-06,3.5
beta_samp[19],-0.94,0.48,0.7,-2.4,-0.59,-0.37,2.1,5.5e-06,6.1
beta_samp[20],0.26,0.65,0.93,-0.44,-0.23,1.9,2.0,5.3e-06,10.0
beta_samp[21],0.28,0.5,0.72,-0.36,-0.071,1.6,2.1,5.4e-06,5.7
beta_samp[22],-0.72,0.069,0.16,-0.96,-0.74,-0.41,5.3,1.4e-05,1.4
beta_samp[23],-0.74,0.53,0.78,-1.5,-1.1,0.69,2.1,5.6e-06,3.9
beta_samp[24],2.1,1.2,1.7,-0.79,2.9,3.7,2.1,5.4e-06,5.5
beta_samp[25],-0.55,0.071,0.19,-0.83,-0.57,-0.23,7.0,1.8e-05,1.4
beta_samp[26],0.093,0.22,0.34,-0.32,-0.021,0.65,2.4,6.2e-06,2.5
beta_samp[27],0.099,0.51,0.78,-0.8,-0.2,1.4,2.3,6.1e-06,2.5
beta_samp[28],-0.61,0.19,0.48,-1.1,-0.71,0.28,6.6,1.7e-05,1.2
beta_samp[29],2.4,0.28,0.51,1.7,2.4,3.2,3.4,8.9e-06,1.5
beta_samp[30],-0.4,0.21,0.32,-1.0,-0.29,-0.013,2.4,6.1e-06,2.7
beta_samp[31],-0.88,0.15,0.34,-1.4,-0.9,-0.28,5.2,1.4e-05,1.3
beta_samp[32],0.22,0.6,0.86,-0.49,-0.22,1.8,2.0,5.3e-06,6.8
beta_samp[33],-0.55,0.4,0.58,-1.6,-0.27,-0.043,2.1,5.4e-06,6.0
beta_samp[34],-0.21,0.0099,0.12,-0.42,-0.2,-0.0047,155.0,0.0004,1.0
beta_samp[35],-0.77,0.26,0.41,-1.5,-0.66,-0.2,2.5,6.5e-06,2.2
beta_samp[36],-0.66,0.27,0.42,-1.4,-0.54,-0.14,2.4,6.2e-06,2.4
beta_samp[37],-1.0,0.92,1.3,-2.1,-1.7,1.3,2.0,5.3e-06,8.5
beta_samp[38],-0.13,0.28,0.45,-0.64,-0.31,0.57,2.6,6.7e-06,2.1
beta_samp[39],-0.77,0.011,0.11,-0.96,-0.76,-0.58,97.0,0.00025,1.1
beta_samp[40],-0.57,0.096,0.23,-0.96,-0.57,-0.2,5.8,1.5e-05,1.2
beta_samp[41],-0.52,0.51,0.74,-1.9,-0.18,0.14,2.1,5.4e-06,5.6
beta_samp[42],-0.087,0.04,0.23,-0.42,-0.094,0.33,33.0,8.6e-05,1.1
beta_samp[43],-0.59,0.12,0.21,-0.95,-0.56,-0.27,3.1,8e-06,1.7
beta_samp[44],1.3,0.82,1.2,-0.76,1.7,2.6,2.2,5.6e-06,3.5
beta_samp[45],-0.0046,0.19,0.31,-0.37,-0.11,0.56,2.5,6.6e-06,2.2
beta_samp[46],0.67,0.04,0.21,0.3,0.72,1.0,27.0,7.1e-05,1.1
beta_samp[47],0.48,0.49,0.71,-0.81,0.79,1.2,2.1,5.5e-06,4.5
beta_samp[48],-0.16,0.73,1.0,-0.98,-0.69,1.7,2.0,5.3e-06,8.1
beta_samp[49],-0.51,0.23,0.34,-0.88,-0.65,0.16,2.2,5.8e-06,3.2
beta_samp[50],0.85,0.18,0.31,0.41,0.79,1.3,2.8,7.2e-06,1.8
beta_samp[51],-0.091,0.25,0.41,-0.84,0.0063,0.45,2.6,6.9e-06,2.2
beta_samp[52],-0.48,0.55,0.83,-1.9,-0.25,0.57,2.3,6e-06,2.7
beta_samp[53],0.023,0.24,0.48,-0.64,0.016,0.79,3.9,1e-05,1.5
beta_samp[54],-0.74,0.025,0.13,-0.96,-0.74,-0.55,27.0,7e-05,1.1
