name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-180000.0,17000.0,23000.0,-220000.0,-170000.0,-170000.0,2.0,8.9e-06,36.0
mu_pr[1],-1.4,0.67,1.6,-2.1,-2.0,3.4,5.8,2.5e-05,2.6
mu_pr[2],-2.5,0.27,0.5,-3.9,-2.3,-2.3,3.5,1.5e-05,3.6
mu_pr[3],-1.3,1.4,2.0,-2.6,-2.5,2.6,2.0,8.9e-06,22.0
mu_pr[4],0.037,0.013,0.02,0.00018,0.042,0.062,2.4,1.1e-05,2.4
sigma[1],0.18,0.03,0.081,0.0033,0.2,0.28,7.2,3.2e-05,2.0
sigma[2],0.25,0.095,0.14,9.8e-05,0.31,0.36,2.0,9.1e-06,7.2
sigma[3],5.7,6.5,9.3,0.4,0.46,26.0,2.1,9.3e-06,8.6
sigma[4],0.063,0.026,0.038,8.2e-08,0.079,0.1,2.1,9.4e-06,4.1
beta_samp[1],-1.5,0.28,0.47,-2.2,-1.4,-0.78,2.8,1.2e-05,1.9
beta_samp[2],-1.6,0.45,0.67,-2.3,-1.8,-0.4,2.2,9.7e-06,3.3
beta_samp[3],0.62,0.12,0.26,0.19,0.63,0.99,5.1,2.2e-05,1.3
beta_samp[4],-0.012,0.067,0.19,-0.26,-0.042,0.31,7.6,3.4e-05,1.2
beta_samp[5],1.5,1.3,1.9,-1.8,2.4,3.2,2.1,9.1e-06,5.6
beta_samp[6],-0.91,0.33,0.5,-1.7,-0.74,-0.3,2.3,1e-05,2.8
beta_samp[7],-1.0,0.21,0.35,-1.5,-1.1,-0.44,2.8,1.2e-05,1.8
beta_samp[8],-0.6,0.45,0.83,-1.7,-0.61,0.84,3.5,1.5e-05,1.5
beta_samp[9],-0.83,0.38,0.59,-1.8,-0.65,-0.083,2.4,1e-05,2.5
beta_samp[10],-0.11,0.019,0.54,-0.8,-0.046,0.97,774.0,0.0034,1.0
beta_samp[11],0.36,0.36,0.54,-0.57,0.54,0.98,2.2,9.8e-06,3.0
beta_samp[12],0.47,0.23,0.34,0.076,0.35,1.1,2.3,1e-05,2.9
beta_samp[13],0.62,0.12,0.33,0.042,0.66,1.1,7.6,3.3e-05,1.2
beta_samp[14],0.2,0.84,1.2,-2.0,0.71,1.5,2.1,9.4e-06,4.1
beta_samp[15],0.024,0.35,0.52,-0.51,-0.19,0.9,2.1,9.5e-06,3.9
beta_samp[16],-0.27,0.31,0.45,-0.74,-0.45,0.52,2.2,9.6e-06,3.6
beta_samp[17],-0.34,0.67,1.0,-2.1,-0.062,1.1,2.4,1.1e-05,2.4
beta_samp[18],-0.18,0.17,0.37,-0.74,-0.18,0.44,4.7,2.1e-05,1.3
beta_samp[19],-0.042,0.068,0.29,-0.38,-0.11,0.51,19.0,8.3e-05,1.1
beta_samp[20],-0.16,0.03,0.43,-0.75,-0.28,0.7,200.0,0.00088,1.0
beta_samp[21],-0.37,0.027,0.13,-0.57,-0.38,-0.14,25.0,0.00011,1.1
beta_samp[22],-0.048,0.32,0.47,-0.91,0.14,0.44,2.2,9.6e-06,3.4
beta_samp[23],1.2,0.75,1.1,-0.77,1.6,2.5,2.2,9.9e-06,2.9
