name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-210000.0,4.7,29.0,-210000.0,-210000.0,-210000.0,36.0,0.00016,1.1
mu_pr[1],-1.9,0.0016,0.02,-2.0,-1.9,-1.9,165.0,0.00075,1.0
mu_pr[2],-2.3,0.0031,0.027,-2.4,-2.3,-2.3,79.0,0.00036,1.0
mu_pr[3],-2.4,0.0022,0.04,-2.5,-2.4,-2.4,334.0,0.0015,1.0
mu_pr[4],0.04,0.0011,0.0075,0.028,0.039,0.053,46.0,0.00021,1.1
sigma[1],0.22,0.00062,0.015,0.2,0.22,0.25,588.0,0.0027,1.0
sigma[2],0.33,0.0045,0.021,0.3,0.33,0.37,22.0,0.0001,1.1
sigma[3],0.44,0.0012,0.03,0.4,0.44,0.5,576.0,0.0026,1.0
sigma[4],0.071,0.0021,0.0089,0.057,0.07,0.086,18.0,7.9e-05,1.1
beta_samp[1],-1.2,0.0084,0.26,-1.6,-1.3,-0.77,938.0,0.0042,1.0
beta_samp[2],-1.9,0.0086,0.21,-2.2,-1.9,-1.5,605.0,0.0027,1.0
beta_samp[3],0.41,0.0069,0.22,0.068,0.4,0.8,1045.0,0.0047,1.0
beta_samp[4],0.23,0.014,0.62,-0.71,0.19,1.4,2068.0,0.0093,1.0
beta_samp[5],-0.03,0.0061,0.16,-0.28,-0.044,0.25,706.0,0.0032,1.0
beta_samp[6],2.4,0.0089,0.39,1.8,2.3,3.0,1910.0,0.0086,1.0
beta_samp[7],-0.66,0.007,0.2,-0.96,-0.67,-0.32,801.0,0.0036,1.0
beta_samp[8],-1.1,0.008,0.24,-1.4,-1.2,-0.7,908.0,0.0041,1.0
beta_samp[9],-0.25,0.014,0.61,-1.0,-0.36,0.9,1826.0,0.0082,1.0
beta_samp[10],-0.55,0.0092,0.27,-1.0,-0.55,-0.1,866.0,0.0039,1.0
beta_samp[11],-0.12,0.02,0.61,-0.82,-0.3,1.0,956.0,0.0043,1.0
beta_samp[12],0.51,0.0085,0.2,0.19,0.5,0.85,543.0,0.0024,1.0
beta_samp[13],0.38,0.0098,0.46,-0.28,0.33,1.2,2221.0,0.01,1.0
beta_samp[14],0.38,0.0064,0.21,0.047,0.36,0.73,1075.0,0.0048,1.0
beta_samp[15],0.39,0.0088,0.34,-0.027,0.32,1.1,1483.0,0.0067,1.0
beta_samp[16],0.81,0.013,0.61,-0.13,0.79,1.9,2131.0,0.0096,1.0
beta_samp[17],0.18,0.0064,0.14,-0.04,0.18,0.4,441.0,0.002,1.0
beta_samp[18],0.41,0.0079,0.32,-0.081,0.39,0.95,1616.0,0.0073,1.0
beta_samp[19],0.76,0.01,0.35,0.2,0.74,1.4,1192.0,0.0054,1.0
beta_samp[20],-0.33,0.0067,0.15,-0.58,-0.33,-0.085,491.0,0.0022,1.0
beta_samp[21],-0.55,0.0069,0.14,-0.77,-0.56,-0.32,405.0,0.0018,1.0
beta_samp[22],0.15,0.011,0.52,-0.61,0.11,1.1,2100.0,0.0095,1.0
beta_samp[23],-0.12,0.0078,0.31,-0.64,-0.11,0.38,1607.0,0.0072,1.0
beta_samp[24],-0.036,0.0099,0.29,-0.38,-0.1,0.54,887.0,0.004,1.0
beta_samp[25],-0.15,0.012,0.47,-0.79,-0.23,0.72,1519.0,0.0068,1.0
beta_samp[26],-0.4,0.0072,0.13,-0.62,-0.41,-0.19,343.0,0.0015,1.0
beta_samp[27],0.11,0.0068,0.14,-0.12,0.1,0.34,423.0,0.0019,1.0
beta_samp[28],1.7,0.0072,0.43,0.96,1.7,2.4,3675.0,0.017,1.0
beta_samp[29],0.55,0.015,0.62,-0.38,0.49,1.7,1753.0,0.0079,1.0
beta_samp[30],0.66,0.012,0.47,-0.062,0.65,1.5,1520.0,0.0068,1.0
beta_samp[31],1.5,0.0072,0.39,0.93,1.5,2.2,2922.0,0.013,1.0
beta_samp[32],1.6,0.012,0.57,0.76,1.6,2.6,2100.0,0.0095,1.0
beta_samp[33],-1.4,0.0075,0.16,-1.7,-1.4,-1.2,456.0,0.0021,1.0
beta_samp[34],0.54,0.0085,0.31,0.13,0.48,1.1,1345.0,0.0061,1.0
beta_samp[35],0.24,0.007,0.29,-0.18,0.22,0.77,1760.0,0.0079,1.0
beta_samp[36],-0.0096,0.0072,0.13,-0.22,-0.0086,0.2,329.0,0.0015,1.0
beta_samp[37],0.73,0.012,0.49,0.081,0.65,1.7,1728.0,0.0078,1.0
