name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-210000.0,4400.0,6200.0,-220000.0,-200000.0,-200000.0,2.0,5.5e-06,130.0
mu_pr[1],-0.23,2.2,3.1,-2.1,-2.0,5.2,2.0,5.5e-06,136.0
mu_pr[2],-2.5,0.44,0.62,-3.6,-2.2,-2.1,2.0,5.6e-06,24.0
mu_pr[3],-2.1,0.0023,0.044,-2.2,-2.2,-2.1,359.0,0.00099,1.0
mu_pr[4],-0.33,0.14,0.23,-0.68,-0.37,-0.0004,2.8,7.7e-06,1.9
mu_pr[5],0.045,0.018,0.046,-0.0054,0.04,0.13,6.3,1.7e-05,1.2
mu_pr[6],0.031,0.013,0.019,-0.00051,0.038,0.053,2.3,6.2e-06,2.9
mu_pr[7],0.03,0.012,0.018,-0.00027,0.037,0.049,2.2,6e-06,3.7
sigma[1],0.72,0.64,0.91,0.18,0.21,2.3,2.0,5.6e-06,53.0
sigma[2],0.29,0.12,0.17,0.0008,0.38,0.43,2.0,5.6e-06,7.8
sigma[3],0.44,0.18,0.25,7.3e-05,0.56,0.64,2.0,5.6e-06,7.5
sigma[4],1.2,0.5,0.72,0.00039,1.5,1.9,2.1,5.8e-06,4.8
sigma[5],0.34,0.14,0.2,1.6e-05,0.43,0.52,2.1,5.7e-06,5.1
sigma[6],0.055,0.023,0.033,4.2e-05,0.069,0.087,2.1,5.8e-06,4.8
sigma[7],0.041,0.017,0.024,0.00023,0.051,0.064,2.1,5.8e-06,4.9
beta_samp[1],-0.99,0.31,0.5,-1.7,-1.1,-0.25,2.6,7.1e-06,2.1
beta_samp[2],1.0,0.063,0.3,0.46,1.1,1.4,23.0,6.3e-05,1.1
beta_samp[3],0.035,0.3,0.47,-0.58,-0.1,0.78,2.4,6.6e-06,2.4
beta_samp[4],-0.22,0.12,0.53,-1.1,-0.12,0.63,20.0,5.5e-05,1.1
beta_samp[5],-0.67,0.39,0.67,-1.6,-0.56,0.35,2.9,8.1e-06,1.7
beta_samp[6],0.058,0.059,0.43,-0.56,-0.061,0.87,52.0,0.00014,1.0
beta_samp[7],-0.19,0.85,1.3,-1.8,-0.62,1.9,2.4,6.6e-06,2.4
beta_samp[8],-0.019,0.29,0.5,-0.77,-0.081,0.68,2.9,8.1e-06,1.7
beta_samp[9],0.12,0.2,0.52,-0.67,0.15,0.79,7.1,2e-05,1.2
beta_samp[10],-0.59,0.58,0.85,-1.5,-0.92,0.82,2.2,6e-06,3.6
beta_samp[11],0.69,0.49,0.74,-0.5,0.91,1.6,2.3,6.4e-06,2.6
beta_samp[12],-0.26,0.85,1.3,-1.7,-0.75,1.8,2.3,6.3e-06,2.8
beta_samp[13],-0.97,0.15,0.38,-1.6,-0.92,-0.52,6.6,1.8e-05,1.2
beta_samp[14],0.14,0.085,0.69,-1.0,-0.075,1.3,66.0,0.00018,1.0
beta_samp[15],0.2,0.17,0.44,-0.31,0.13,1.0,7.0,1.9e-05,1.2
beta_samp[16],-0.88,0.017,0.44,-1.5,-1.0,-0.087,657.0,0.0018,1.0
