name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-210000.0,520.0,780.0,-210000.0,-200000.0,-200000.0,2.2,5.1e-06,4.0
mu_pr[1],-2.0,0.0047,0.024,-2.1,-2.0,-2.0,27.0,6.3e-05,1.1
mu_pr[2],-2.3,0.026,0.046,-2.4,-2.3,-2.3,3.1,7.1e-06,1.7
mu_pr[3],-2.4,0.0032,0.039,-2.4,-2.4,-2.3,149.0,0.00034,1.0
mu_pr[4],0.078,0.011,0.021,0.049,0.079,0.12,3.7,8.5e-06,1.5
mu_pr[5],1.2,0.22,0.61,0.16,1.3,2.0,7.5,1.7e-05,1.2
sigma[1],0.24,0.05,0.073,0.1,0.27,0.31,2.1,4.9e-06,4.1
sigma[2],0.36,0.021,0.045,0.26,0.36,0.41,4.5,1e-05,1.6
sigma[3],0.48,0.026,0.056,0.38,0.49,0.56,4.6,1.1e-05,1.7
sigma[4],0.13,0.038,0.057,0.026,0.15,0.2,2.2,5e-06,3.8
sigma[5],5.7,2.3,3.4,0.015,7.2,9.2,2.1,4.8e-06,5.0
beta_samp[1],-1.0,0.34,0.58,-1.8,-1.1,0.13,2.9,6.7e-06,1.9
beta_samp[2],-0.74,0.83,1.2,-3.1,-0.17,0.28,2.1,4.8e-06,4.9
beta_samp[3],0.2,0.3,0.48,-0.37,0.056,1.2,2.4,5.6e-06,2.4
beta_samp[4],-0.81,0.085,0.77,-1.9,-0.86,0.57,82.0,0.00019,1.1
beta_samp[5],-0.27,0.52,0.8,-1.2,-0.53,1.4,2.4,5.5e-06,2.5
beta_samp[6],0.5,0.25,0.83,-0.98,0.55,1.6,11.0,2.4e-05,1.2
beta_samp[7],-0.51,0.14,0.3,-1.0,-0.49,-0.042,4.8,1.1e-05,1.3
beta_samp[8],-0.48,0.63,0.94,-1.4,-0.86,1.4,2.2,5.1e-06,3.6
beta_samp[9],-0.31,0.079,0.62,-1.2,-0.4,0.87,62.0,0.00014,1.0
beta_samp[10],-0.61,0.11,0.33,-1.1,-0.61,-0.066,9.0,2.1e-05,1.1
beta_samp[11],0.72,0.52,0.76,-0.68,1.1,1.4,2.1,4.9e-06,4.3
beta_samp[12],0.12,0.29,0.47,-0.42,-0.032,1.0,2.6,5.9e-06,2.2
beta_samp[13],0.2,0.3,0.53,-0.79,0.24,1.0,3.3,7.5e-06,1.6
beta_samp[14],-0.57,0.44,0.71,-1.5,-0.73,0.68,2.6,6e-06,2.0
beta_samp[15],0.93,0.12,0.35,0.37,0.92,1.5,8.8,2e-05,1.2
beta_samp[16],-1.4,0.022,0.6,-2.3,-1.4,-0.31,726.0,0.0017,1.0
beta_samp[17],0.014,0.61,0.92,-0.76,-0.39,1.8,2.3,5.2e-06,3.2
beta_samp[18],0.067,0.094,0.37,-0.54,0.068,0.67,15.0,3.5e-05,1.1
beta_samp[19],0.25,0.3,0.59,-0.68,0.23,1.1,3.9,9e-06,1.4
