name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-15000.0,0.48,11.0,-15000.0,-15000.0,-15000.0,550.0,0.041,1.0
mu_pr[1],-1.7,0.0014,0.051,-1.8,-1.7,-1.6,1273.0,0.095,1.0
mu_pr[2],-2.3,0.0031,0.056,-2.4,-2.3,-2.2,339.0,0.025,1.0
mu_pr[3],-1.9,0.0041,0.1,-2.1,-1.9,-1.7,656.0,0.049,1.0
mu_pr[4],0.018,0.00018,0.0069,0.0077,0.018,0.03,1411.0,0.1,1.0
sigma[1],0.21,0.0012,0.04,0.15,0.21,0.28,1004.0,0.075,1.0
sigma[2],0.25,0.0015,0.045,0.18,0.24,0.33,864.0,0.064,1.0
sigma[3],0.46,0.0032,0.092,0.33,0.44,0.62,810.0,0.06,1.0
sigma[4],0.026,0.00018,0.007,0.017,0.026,0.04,1454.0,0.11,1.0
beta_samp[1],-0.12,0.022,0.6,-1.1,-0.12,0.85,741.0,0.055,1.0
beta_samp[2],-0.28,0.022,0.77,-1.5,-0.3,1.0,1271.0,0.095,1.0
beta_samp[3],-0.1,0.015,0.64,-1.1,-0.14,1.0,1942.0,0.14,1.0
beta_samp[4],-0.68,0.019,0.56,-1.5,-0.74,0.37,868.0,0.065,1.0
beta_samp[5],1.1,0.015,0.52,0.42,1.1,2.1,1179.0,0.088,1.0
beta_samp[6],0.0018,0.016,0.55,-0.74,-0.075,0.99,1196.0,0.089,1.0
beta_samp[7],0.31,0.011,0.51,-0.51,0.3,1.2,2298.0,0.17,1.0
beta_samp[8],1.1,0.014,0.53,0.34,1.1,2.0,1463.0,0.11,1.0
beta_samp[9],1.7,0.013,0.62,0.76,1.7,2.8,2297.0,0.17,1.0
beta_samp[10],-0.69,0.0084,0.36,-1.3,-0.69,-0.099,1882.0,0.14,1.0
beta_samp[11],1.2,0.012,0.45,0.52,1.2,2.0,1449.0,0.11,1.0
beta_samp[12],-0.45,0.02,0.76,-1.7,-0.48,0.83,1435.0,0.11,1.0
beta_samp[13],-0.98,0.0099,0.41,-1.6,-0.99,-0.31,1701.0,0.13,1.0
beta_samp[14],0.43,0.014,0.57,-0.45,0.39,1.4,1687.0,0.13,1.0
beta_samp[15],-0.67,0.0093,0.45,-1.4,-0.68,0.074,2363.0,0.18,1.0
beta_samp[16],0.033,0.01,0.44,-0.64,-0.00024,0.78,1798.0,0.13,1.0
beta_samp[17],0.12,0.0078,0.4,-0.54,0.11,0.78,2663.0,0.2,1.0
beta_samp[18],-0.38,0.02,0.74,-1.5,-0.44,0.9,1318.0,0.098,1.0
beta_samp[19],-0.86,0.0087,0.33,-1.4,-0.86,-0.31,1482.0,0.11,1.0
beta_samp[20],-0.24,0.0073,0.31,-0.74,-0.24,0.27,1804.0,0.13,1.0
beta_samp[21],-0.9,0.017,0.6,-1.8,-0.98,0.2,1299.0,0.097,1.0
