,Beta,etaPos,etaNeg,m,b
0,5.997,0.007,0.025,0.034,1.373
1,2.33,0.02,0.12,0.023,0.951
2,1.239,0.054,0.152,0.042,0.762
3,3.917,0.028,0.037,0.042,1.458
4,1.289,0.039,0.02,0.052,1.028
5,1.76,0.025,0.059,0.036,0.205
6,1.994,0.004,0.088,0.044,2.366
7,2.213,0.031,0.048,0.053,1.306
8,1.852,0.037,0.048,0.058,1.009
9,2.32,0.012,0.127,0.041,-0.521
10,3.203,0.006,0.014,0.028,3.012
11,3.267,0.008,0.144,0.064,1.008
12,1.823,0.027,0.058,0.045,0.288
13,2.215,0.039,0.066,0.035,0.131
14,2.79,0.005,0.016,0.044,1.487
15,2.379,0.029,0.017,0.039,-0.076
16,2.312,0.001,0.102,0.045,2.021
17,2.591,0.046,0.084,0.045,1.105
18,1.347,0.104,0.066,0.052,0.568
19,1.254,0.034,0.102,0.039,0.435
20,1.934,0.039,0.017,0.044,0.776
21,1.172,0.069,0.14,0.042,0.168
22,1.864,0.024,0.16,0.042,2.244
23,7.291,0.009,0.02,0.022,-0.006
24,1.413,0.035,0.043,0.048,1.732
