,Task,P1,P2,P3,P4
0,loss_pindepstar_fit,0.001,0.001,0.016,0.982
1,loss_pindepstar_fit,0.0045,0.004,0.0015,0.99
2,loss_pindepstar_fit,0.003,0.004,0.01,0.983
3,loss_pindepstar_fit,0.003,0.0075,0.2435,0.746
4,loss_pindepstar_fit,0.01,0.059,0.1605,0.7705
5,loss_pindepstar_fit,0.01,0.0095,0.023,0.9575
6,loss_pindepstar_fit,0.003,0.0015,0.021,0.9745
7,loss_pindepstar_fit,0.0025,0.0045,0.016,0.977
8,loss_pindepstar_fit,0.001,0.0035,0.226,0.7695
9,loss_pindepstar_fit,0.0005,0.0,0.001,0.9985
10,loss_pindepstar_fit,0.0015,0.0,0.003,0.9955
11,loss_pindepstar_fit,0.0045,0.001,0.0015,0.993
12,loss_pindepstar_fit,0.0025,0.0045,0.102,0.891
13,loss_pindepstar_fit,0.005,0.011,0.471,0.513
14,loss_pindepstar_fit,0.003,0.006,0.0035,0.9875
15,loss_pindepstar_fit,0.003,0.002,0.009,0.986
16,loss_pindepstar_fit,0.001,0.0025,0.0015,0.995
17,loss_pindepstar_fit,0.006,0.0055,0.0075,0.981
18,loss_pindepstar_fit,0.003,0.0005,0.688,0.3085
19,loss_pindepstar_fit,0.005,0.0275,0.0815,0.886
20,loss_pindepstar_fit,0.003,0.002,0.27,0.725
21,loss_pindepstar_fit,0.0,0.0005,0.0015,0.998
22,loss_pindepstar_fit,0.0035,0.0015,0.008,0.987
23,loss_pindepstar_fit,0.001,0.001,0.0015,0.9965
24,loss_pindepstar_fit,0.002,0.003,0.0025,0.9925
25,loss_pindepstar_fit,0.002,0.108,0.1005,0.7895
26,loss_pindepstar_fit,0.002,0.0045,0.0075,0.986
27,loss_pindepstar_fit,0.002,0.005,0.067,0.926
28,,0.003160714285714287,0.010017857142857144,0.09091071428571428,0.8959107142857142
