,Task,P1,P2,P3,P4
0,loss_pscale_fit,36.67%,63.00%,0.33%,0.00%
1,loss_pscale_fit,41.67%,43.33%,9.67%,5.33%
2,loss_pscale_fit,17.67%,69.67%,7.67%,5.00%
3,loss_pscale_fit,35.00%,50.67%,8.00%,6.33%
4,loss_pscale_fit,47.33%,43.00%,6.67%,3.00%
5,loss_pscale_fit,47.00%,47.33%,4.33%,1.33%
6,loss_pscale_fit,57.67%,34.67%,4.33%,3.33%
7,loss_pscale_fit,32.00%,64.00%,3.67%,0.33%
8,loss_pscale_fit,26.00%,65.33%,5.67%,3.00%
9,loss_pscale_fit,11.67%,88.00%,0.00%,0.33%
10,loss_pscale_fit,33.33%,44.67%,14.67%,7.33%
11,loss_pscale_fit,21.00%,62.00%,7.67%,9.33%
12,loss_pscale_fit,5.67%,32.33%,40.67%,21.33%
13,loss_pscale_fit,20.33%,68.33%,6.33%,5.00%
14,loss_pscale_fit,20.33%,77.33%,1.67%,0.67%
15,loss_pscale_fit,58.67%,40.00%,0.67%,0.67%
16,loss_pscale_fit,56.33%,43.33%,0.33%,0.00%
17,loss_pscale_fit,46.00%,46.00%,3.67%,4.33%
18,loss_pscale_fit,36.33%,60.33%,3.00%,0.33%
19,loss_pscale_fit,46.33%,34.00%,13.00%,6.67%
20,loss_pscale_fit,53.00%,42.00%,3.67%,1.33%
21,loss_pscale_fit,39.33%,37.33%,17.00%,6.33%
22,loss_pscale_fit,9.33%,73.33%,12.33%,5.00%
23,loss_pscale_fit,11.33%,74.33%,13.33%,1.00%
24,loss_pscale_fit,57.33%,36.00%,4.67%,2.00%
25,loss_pscale_fit,25.00%,58.67%,13.67%,2.67%
26,loss_pscale_fit,56.33%,42.00%,1.67%,0.00%
27,loss_pscale_fit,50.67%,39.67%,7.00%,2.67%
