,Task,P1,P2,P3,P4
0,outcome_pscale_fit,0.00%,99.33%,0.67%,0.00%
1,outcome_pscale_fit,27.33%,50.33%,15.33%,7.00%
2,outcome_pscale_fit,29.67%,41.33%,20.33%,8.67%
3,outcome_pscale_fit,0.67%,88.00%,10.67%,0.67%
4,outcome_pscale_fit,10.33%,36.00%,31.33%,22.33%
5,outcome_pscale_fit,28.33%,56.00%,13.67%,2.00%
6,outcome_pscale_fit,29.33%,57.00%,10.33%,3.33%
7,outcome_pscale_fit,10.33%,60.00%,27.67%,2.00%
8,outcome_pscale_fit,16.33%,59.67%,15.33%,8.67%
9,outcome_pscale_fit,59.33%,36.33%,4.00%,0.33%
10,outcome_pscale_fit,0.00%,0.33%,0.67%,99.00%
11,outcome_pscale_fit,68.67%,31.00%,0.00%,0.33%
12,outcome_pscale_fit,29.00%,56.33%,12.33%,2.33%
13,outcome_pscale_fit,18.33%,63.00%,17.00%,1.67%
14,outcome_pscale_fit,6.67%,83.33%,8.67%,1.33%
15,outcome_pscale_fit,1.33%,25.67%,18.00%,55.00%
16,outcome_pscale_fit,51.00%,41.00%,7.00%,1.00%
17,outcome_pscale_fit,17.67%,70.67%,4.67%,7.00%
18,outcome_pscale_fit,14.33%,53.33%,29.00%,3.33%
19,outcome_pscale_fit,26.67%,50.67%,15.33%,7.33%
20,outcome_pscale_fit,4.33%,25.33%,37.33%,33.00%
21,outcome_pscale_fit,31.33%,40.00%,14.33%,14.33%
22,outcome_pscale_fit,30.33%,44.33%,20.33%,5.00%
23,outcome_pscale_fit,0.00%,100.00%,0.00%,0.00%
24,outcome_pscale_fit,14.00%,43.33%,24.00%,18.67%
