,Task,P1,P2,P3,P4
0,random_pscale_fit,47.00%,37.33%,10.67%,5.00%
1,random_pscale_fit,22.67%,70.00%,5.33%,2.00%
2,random_pscale_fit,31.67%,62.33%,5.67%,0.33%
3,random_pscale_fit,26.00%,65.67%,6.00%,2.33%
4,random_pscale_fit,1.67%,98.33%,0.00%,0.00%
5,random_pscale_fit,0.67%,77.00%,12.67%,9.67%
6,random_pscale_fit,46.33%,47.00%,5.00%,1.67%
7,random_pscale_fit,0.67%,99.33%,0.00%,0.00%
8,random_pscale_fit,22.67%,77.33%,0.00%,0.00%
9,random_pscale_fit,10.67%,74.00%,9.67%,5.67%
10,random_pscale_fit,0.00%,94.67%,5.00%,0.33%
11,random_pscale_fit,36.00%,60.67%,2.00%,1.33%
12,random_pscale_fit,16.33%,64.33%,15.33%,4.00%
13,random_pscale_fit,44.00%,43.00%,8.67%,4.33%
14,random_pscale_fit,22.33%,73.00%,3.67%,1.00%
15,random_pscale_fit,23.33%,75.67%,1.00%,0.00%
16,random_pscale_fit,0.33%,99.67%,0.00%,0.00%
17,random_pscale_fit,0.00%,0.00%,98.67%,1.33%
18,random_pscale_fit,37.67%,59.33%,2.33%,0.67%
19,random_pscale_fit,40.00%,52.00%,6.00%,2.00%
20,random_pscale_fit,36.33%,56.00%,5.33%,2.33%
21,random_pscale_fit,0.00%,100.00%,0.00%,0.00%
22,random_pscale_fit,31.00%,69.00%,0.00%,0.00%
23,random_pscale_fit,45.33%,36.33%,11.00%,7.33%
24,random_pscale_fit,3.33%,94.33%,1.33%,1.00%
25,random_pscale_fit,46.00%,48.00%,4.00%,2.00%
26,random_pscale_fit,8.33%,58.67%,20.67%,12.33%
27,random_pscale_fit,37.67%,57.67%,3.67%,1.00%
