,Task,P1,P2,P3,P4
0,reverse_pindepstar_fit,9.00%,37.67%,49.67%,3.67%
1,reverse_pindepstar_fit,36.67%,60.33%,3.00%,0.00%
2,reverse_pindepstar_fit,17.33%,49.33%,31.67%,1.67%
3,reverse_pindepstar_fit,20.67%,30.67%,39.33%,9.33%
4,reverse_pindepstar_fit,0.00%,0.00%,99.67%,0.33%
5,reverse_pindepstar_fit,0.33%,71.67%,28.00%,0.00%
6,reverse_pindepstar_fit,57.67%,25.33%,10.33%,6.67%
7,reverse_pindepstar_fit,24.33%,6.67%,69.00%,0.00%
8,reverse_pindepstar_fit,0.00%,0.00%,0.00%,100.00%
9,reverse_pindepstar_fit,13.00%,75.67%,10.00%,1.33%
10,reverse_pindepstar_fit,3.33%,52.67%,42.00%,2.00%
11,reverse_pindepstar_fit,18.33%,74.67%,7.00%,0.00%
12,reverse_pindepstar_fit,13.67%,10.67%,54.00%,21.67%
13,reverse_pindepstar_fit,12.67%,83.33%,1.67%,2.33%
14,reverse_pindepstar_fit,28.67%,58.67%,2.67%,10.00%
15,reverse_pindepstar_fit,22.67%,73.33%,2.00%,2.00%
16,reverse_pindepstar_fit,17.33%,54.33%,26.67%,1.67%
17,reverse_pindepstar_fit,37.33%,55.33%,3.33%,4.00%
18,reverse_pindepstar_fit,21.33%,25.33%,48.33%,5.00%
19,reverse_pindepstar_fit,3.00%,91.67%,4.33%,1.00%
20,reverse_pindepstar_fit,3.33%,53.00%,33.00%,10.67%
21,reverse_pindepstar_fit,0.33%,79.33%,20.33%,0.00%
22,reverse_pindepstar_fit,3.00%,40.67%,35.67%,20.67%
23,reverse_pindepstar_fit,0.00%,79.33%,20.67%,0.00%
24,reverse_pindepstar_fit,0.00%,99.67%,0.00%,0.33%
25,reverse_pindepstar_fit,1.33%,96.33%,1.00%,1.33%
26,reverse_pindepstar_fit,12.33%,51.67%,9.00%,27.00%
27,reverse_pindepstar_fit,0.00%,26.33%,73.67%,0.00%
