,Task,P1,P2,P3,P4
0,reverse_pscale_fit,5.33%,27.33%,33.67%,33.67%
1,reverse_pscale_fit,67.00%,32.00%,1.00%,0.00%
2,reverse_pscale_fit,18.67%,56.33%,19.33%,5.67%
3,reverse_pscale_fit,12.67%,73.00%,10.00%,4.33%
4,reverse_pscale_fit,0.00%,14.33%,35.67%,50.00%
5,reverse_pscale_fit,8.00%,84.33%,5.67%,2.00%
6,reverse_pscale_fit,57.67%,35.00%,4.00%,3.33%
7,reverse_pscale_fit,26.67%,69.67%,3.00%,0.67%
8,reverse_pscale_fit,1.67%,98.33%,0.00%,0.00%
9,reverse_pscale_fit,52.67%,44.67%,2.67%,0.00%
10,reverse_pscale_fit,1.67%,18.00%,31.67%,48.67%
11,reverse_pscale_fit,27.00%,70.67%,2.33%,0.00%
12,reverse_pscale_fit,0.00%,0.00%,100.00%,0.00%
13,reverse_pscale_fit,36.00%,63.67%,0.33%,0.00%
14,reverse_pscale_fit,57.67%,35.33%,5.67%,1.33%
15,reverse_pscale_fit,22.33%,73.67%,3.00%,1.00%
16,reverse_pscale_fit,17.00%,50.33%,21.33%,11.33%
17,reverse_pscale_fit,46.67%,40.67%,9.33%,3.33%
18,reverse_pscale_fit,0.00%,100.00%,0.00%,0.00%
19,reverse_pscale_fit,47.00%,52.33%,0.33%,0.33%
20,reverse_pscale_fit,0.67%,99.00%,0.33%,0.00%
21,reverse_pscale_fit,33.67%,56.00%,8.33%,2.00%
22,reverse_pscale_fit,1.33%,60.33%,5.33%,33.00%
23,reverse_pscale_fit,11.00%,73.33%,11.00%,4.67%
24,reverse_pscale_fit,0.33%,99.33%,0.00%,0.33%
25,reverse_pscale_fit,26.00%,47.00%,17.00%,10.00%
26,reverse_pscale_fit,15.00%,61.00%,17.33%,6.67%
27,reverse_pscale_fit,7.67%,92.00%,0.00%,0.33%
