,Task,P1,P2,P3,P4
0,standard_pindepstar_fit,0.0065,0.02,0.2035,0.77
1,standard_pindepstar_fit,0.0085,0.0095,0.0295,0.9525
2,standard_pindepstar_fit,0.008,0.0105,0.015,0.9665
3,standard_pindepstar_fit,0.0025,0.0155,0.3145,0.6675
4,standard_pindepstar_fit,0.003,0.0015,0.011,0.9845
5,standard_pindepstar_fit,0.0025,0.0005,0.1185,0.8785
6,standard_pindepstar_fit,0.0075,0.0025,0.009,0.981
7,standard_pindepstar_fit,0.0055,0.0065,0.1345,0.8535
8,standard_pindepstar_fit,0.0045,0.014,0.0295,0.952
9,standard_pindepstar_fit,0.0065,0.0035,0.0105,0.9795
10,standard_pindepstar_fit,0.0045,0.0025,0.004,0.989
11,standard_pindepstar_fit,0.029,0.054,0.161,0.756
12,standard_pindepstar_fit,0.007,0.011,0.106,0.876
13,standard_pindepstar_fit,0.0125,0.0105,0.0285,0.9485
14,standard_pindepstar_fit,0.004,0.0025,0.0125,0.981
15,standard_pindepstar_fit,0.0025,0.0035,0.006,0.988
16,standard_pindepstar_fit,0.0035,0.008,0.0,0.9885
17,standard_pindepstar_fit,0.007,0.0095,0.9835,0.0
18,standard_pindepstar_fit,0.007,0.005,0.0095,0.9785
19,standard_pindepstar_fit,0.0035,0.003,0.0085,0.985
20,standard_pindepstar_fit,0.0115,0.026,0.9445,0.018
21,standard_pindepstar_fit,0.005,0.019,0.0045,0.9715
22,standard_pindepstar_fit,0.002,0.0005,0.001,0.9965
23,standard_pindepstar_fit,0.0015,0.1,0.897,0.0015
24,standard_pindepstar_fit,0.004,0.015,0.0125,0.9685
25,standard_pindepstar_fit,0.0085,0.003,0.0115,0.977
26,standard_pindepstar_fit,0.0125,0.0215,0.0205,0.9455
27,standard_pindepstar_fit,0.01,0.025,0.023,0.942
28,standard_pindepstar_fit,0.0025,0.013,0.0045,0.98
29,standard_pindepstar_fit,0.003,0.001,0.99,0.006
30,standard_pindepstar_fit,0.0135,0.015,0.1165,0.855
31,standard_pindepstar_fit,0.001,0.005,0.0035,0.9905
32,,0.006578125000000002,0.013671875000000005,0.16325,0.8165
