,Task,P1,P2,P3,P4
0,standard_pscale_fit,34.67%,54.00%,8.67%,2.67%
1,standard_pscale_fit,71.67%,28.00%,0.00%,0.33%
2,standard_pscale_fit,0.00%,87.33%,12.00%,0.67%
3,standard_pscale_fit,9.00%,58.00%,28.33%,4.67%
4,standard_pscale_fit,2.33%,12.33%,26.33%,59.00%
5,standard_pscale_fit,32.33%,63.00%,3.00%,1.67%
6,standard_pscale_fit,0.67%,98.67%,0.67%,0.00%
7,standard_pscale_fit,7.33%,35.67%,31.67%,25.33%
8,standard_pscale_fit,14.33%,67.00%,11.67%,7.00%
9,standard_pscale_fit,48.33%,39.00%,9.00%,3.67%
10,standard_pscale_fit,18.00%,81.00%,1.00%,0.00%
11,standard_pscale_fit,14.67%,60.00%,22.33%,3.00%
12,standard_pscale_fit,1.67%,15.00%,12.67%,70.67%
13,standard_pscale_fit,30.33%,66.67%,0.67%,2.33%
14,standard_pscale_fit,26.67%,73.00%,0.33%,0.00%
15,standard_pscale_fit,15.67%,62.67%,21.00%,0.67%
16,standard_pscale_fit,31.00%,33.67%,17.00%,18.33%
17,standard_pscale_fit,2.00%,94.00%,4.00%,0.00%
18,standard_pscale_fit,14.00%,82.67%,3.00%,0.33%
19,standard_pscale_fit,8.67%,41.00%,13.00%,37.33%
20,standard_pscale_fit,0.00%,10.67%,32.33%,57.00%
21,standard_pscale_fit,17.33%,7.33%,18.00%,57.33%
22,standard_pscale_fit,16.67%,65.00%,13.67%,4.67%
23,standard_pscale_fit,23.67%,73.67%,2.33%,0.33%
24,standard_pscale_fit,14.00%,64.67%,14.67%,6.67%
25,standard_pscale_fit,24.67%,38.00%,10.67%,26.67%
26,standard_pscale_fit,36.67%,41.67%,13.00%,8.67%
27,standard_pscale_fit,1.33%,88.00%,10.67%,0.00%
28,standard_pscale_fit,29.00%,69.67%,1.00%,0.33%
29,standard_pscale_fit,1.33%,76.00%,17.00%,5.67%
30,standard_pscale_fit,0.00%,72.00%,19.67%,8.33%
31,standard_pscale_fit,0.33%,67.00%,30.67%,2.00%
