,Task,P1,P2,P3,P4
0,uncued_pindepstar_fit,21.67%,76.67%,1.33%,0.33%
1,uncued_pindepstar_fit,22.67%,68.00%,8.67%,0.67%
2,uncued_pindepstar_fit,24.00%,27.33%,26.33%,22.33%
3,uncued_pindepstar_fit,24.00%,55.00%,0.00%,21.00%
4,uncued_pindepstar_fit,31.67%,64.33%,2.33%,1.67%
5,uncued_pindepstar_fit,37.67%,58.00%,0.67%,3.67%
6,uncued_pindepstar_fit,100.00%,0.00%,0.00%,0.00%
7,uncued_pindepstar_fit,7.67%,44.33%,26.67%,21.33%
8,uncued_pindepstar_fit,44.67%,46.67%,2.67%,6.00%
9,uncued_pindepstar_fit,30.00%,52.33%,15.67%,2.00%
10,uncued_pindepstar_fit,29.33%,67.67%,1.67%,1.33%
11,uncued_pindepstar_fit,24.00%,24.00%,51.67%,0.33%
12,uncued_pindepstar_fit,28.67%,70.33%,1.00%,0.00%
13,uncued_pindepstar_fit,16.00%,80.33%,2.67%,1.00%
14,uncued_pindepstar_fit,4.67%,65.00%,11.00%,19.33%
15,uncued_pindepstar_fit,43.33%,43.00%,1.00%,12.67%
16,uncued_pindepstar_fit,35.00%,63.33%,0.00%,1.67%
17,uncued_pindepstar_fit,21.33%,75.67%,2.00%,1.00%
18,uncued_pindepstar_fit,34.00%,44.67%,16.67%,4.67%
19,uncued_pindepstar_fit,35.00%,63.67%,0.67%,0.67%
20,uncued_pindepstar_fit,0.67%,7.33%,0.67%,91.33%
21,uncued_pindepstar_fit,7.33%,91.33%,0.33%,1.00%
22,uncued_pindepstar_fit,0.00%,0.00%,0.00%,100.00%
23,uncued_pindepstar_fit,35.33%,49.00%,0.67%,15.00%
