,Beta,etaPos,etaNeg,m,b
0,1.822,0.041,0.015,0.061,0.311
1,3.071,0.004,0.119,0.063,0.693
2,1.676,0.015,0.054,0.057,2.271
3,2.121,0.009,0.02,0.055,1.625
4,2.401,0.011,0.007,0.049,2.708
5,2.593,0.011,0.123,0.055,2.555
6,2.017,0.001,0.309,0.05,2.471
7,2.795,0.011,0.102,0.058,2.148
8,5.035,0.004,0.025,0.062,1.38
9,2.498,0.019,0.57,0.056,1.955
10,1.811,0.018,0.006,0.057,1.221
11,2.924,0.015,0.052,0.06,0.677
12,3.404,0.002,0.015,0.052,3.723
13,5.671,0.012,0.029,0.063,-0.742
14,1.606,0.003,0.78,0.052,-0.881
15,2.981,0.03,0.062,0.063,0.399
16,1.374,0.018,0.113,0.056,3.187
17,1.341,0.005,0.689,0.046,2.258
18,5.012,0.004,0.005,0.063,1.441
19,2.94,0.008,0.086,0.065,1.702
20,4.127,0.015,0.009,0.059,1.55
21,1.7,0.049,0.173,0.059,1.22
22,2.529,0.01,0.008,0.055,2.14
23,2.005,0.006,0.01,0.054,1.131
24,3.437,0.002,0.072,0.052,2.522
25,1.77,0.01,0.151,0.04,2.38
26,1.984,0.012,0.072,0.049,2.983
27,5.047,0.005,0.034,0.063,1.132
