,Beta,etaPos,etaNeg,p1,p2,p3,p4
0,3.248,0.029,0.15,-0.236,-0.053,0.018,0.024
1,1.865,0.016,0.747,-0.106,-0.068,0.019,0.012
2,2.431,0.02,0.056,-0.226,-0.079,0.016,0.007
3,2.535,0.052,0.423,-0.291,-0.109,-0.013,0.022
4,2.023,0.02,0.243,-0.339,-0.056,-0.009,0.023
5,2.433,0.017,0.048,-0.454,-0.057,0.016,0.013
6,2.296,0.019,0.131,-0.31,-0.04,0.008,0.028
7,2.554,0.037,0.437,-0.076,-0.074,0.005,0.023
8,2.242,0.032,0.185,-0.14,-0.066,-0.005,0.025
9,3.635,0.085,0.586,-0.002,-0.09,-0.007,0.029
10,2.761,0.024,0.612,-0.225,-0.088,-0.012,-0.011
11,2.184,0.028,0.092,-0.212,-0.063,0.033,0.001
12,2.435,0.034,0.724,0.033,-0.07,-0.024,-0.001
13,2.347,0.036,0.129,-0.096,-0.058,0.011,0.023
14,2.755,0.015,0.03,-0.386,-0.063,0.023,0.015
15,3.026,0.013,0.098,-0.34,-0.07,0.031,0.001
16,2.435,0.011,0.536,-0.325,-0.033,0.029,0.009
17,2.134,0.042,0.582,-0.168,-0.061,-0.002,0.02
18,2.715,0.071,0.298,-0.299,-0.08,0.027,0.016
19,1.893,0.018,0.171,-0.28,-0.051,0.0,0.02
20,2.11,0.021,0.639,-0.268,-0.094,0.005,0.013
21,2.656,0.038,0.262,-0.321,-0.062,-0.012,-0.012
22,2.928,0.022,0.04,-0.231,-0.075,0.002,0.018
23,2.704,0.07,0.105,-0.203,-0.08,0.011,0.02
24,2.374,0.031,0.493,-0.211,-0.056,0.003,0.034
25,3.035,0.048,0.395,-0.148,-0.076,-0.009,0.035
26,3.2,0.007,0.058,-0.35,-0.08,0.009,0.044
27,2.28,0.02,0.302,-0.307,-0.081,-0.006,0.01
