,Beta,etaPos,etaNeg,p1,p2,p3,p4
0,1.637,0.033,0.005,-7.679,1.055,0.248,0.606
1,1.735,0.038,0.004,-3.459,1.097,0.69,0.409
2,3.044,0.015,0.008,1.844,1.014,0.238,1.88
3,1.98,0.037,0.004,1.756,0.775,0.728,1.176
4,5.934,0.068,0.005,2.729,0.961,0.773,0.608
5,3.921,0.019,0.003,-0.289,0.924,0.152,1.263
6,2.164,0.049,0.008,-6.878,1.127,0.378,0.899
7,3.51,0.015,0.002,-5.468,0.926,0.188,0.785
8,4.284,0.025,0.008,0.231,1.107,0.493,1.57
9,2.182,0.033,0.003,-0.051,0.872,0.99,0.668
10,2.272,0.024,0.011,-1.97,1.195,0.226,1.623
11,2.01,0.019,0.003,-2.797,0.975,0.808,0.747
12,2.356,0.024,0.003,-2.531,0.906,0.87,0.361
13,4.129,0.014,0.002,-3.815,0.914,0.447,-0.683
14,2.621,0.012,0.001,-4.992,0.891,0.599,0.395
15,3.277,0.015,0.002,-6.09,0.933,0.004,0.443
16,3.185,0.036,0.003,-0.774,0.882,0.932,0.59
17,1.567,0.028,0.002,-0.453,0.977,-0.255,0.023
18,1.948,0.03,0.007,1.767,0.793,1.29,0.563
19,3.369,0.016,0.002,-0.917,0.897,0.861,0.173
20,3.21,0.008,0.001,-3.16,1.099,0.104,-0.063
21,2.413,0.027,0.005,-6.7,1.094,0.289,0.537
22,2.559,0.016,0.003,0.428,0.852,0.798,1.044
23,1.814,0.022,0.002,-5.745,1.077,0.389,0.868
24,3.877,0.011,0.003,0.983,1.02,0.357,1.344
25,3.011,0.013,0.003,-1.397,0.79,0.067,1.947
26,1.601,0.031,0.002,-0.364,0.993,0.091,0.506
27,2.353,0.026,0.003,3.489,0.871,0.17,1.344
