,Beta,eta,p1,p2,p3,p4
0,1.848,0.034,-0.989,0.062,0.01,0.062
1,2.092,0.035,-0.489,0.061,0.045,0.019
2,1.748,0.126,0.071,0.063,0.068,0.26
3,2.184,0.038,0.051,-0.007,0.051,0.094
4,5.845,0.077,0.035,0.061,0.076,0.041
5,4.348,0.016,-0.343,0.038,-0.004,0.179
6,2.315,0.053,-0.911,0.056,0.037,0.106
7,4.062,0.011,-0.541,0.02,0.004,0.1
8,3.949,0.024,-0.42,0.091,0.055,0.185
9,2.441,0.032,-0.06,0.007,0.072,0.04
10,3.238,0.016,-0.716,0.092,0.023,0.265
11,2.449,0.016,-0.481,0.044,0.09,0.09
12,2.594,0.021,-0.393,0.025,0.077,0.021
13,4.56,0.01,-0.63,0.045,0.033,-0.143
14,3.051,0.01,-0.412,0.005,0.029,0.015
15,3.882,0.011,-0.6,0.017,-0.028,0.025
16,3.441,0.034,-0.182,0.014,0.042,0.027
17,2.178,0.015,-0.221,0.032,-0.054,-0.019
18,2.199,0.029,-0.029,0.02,0.172,0.083
19,3.784,0.014,-0.028,0.01,0.088,0.007
20,3.625,0.006,-0.624,0.067,-0.019,-0.037
21,2.95,0.02,-0.763,0.063,0.013,0.069
22,2.829,0.013,-0.356,0.034,0.091,0.158
23,2.151,0.014,-0.555,0.039,0.002,0.078
24,4.05,0.009,-0.351,0.059,0.029,0.206
25,3.208,0.012,-0.521,0.048,-0.011,0.295
26,2.079,0.019,-0.264,0.043,-0.04,-0.016
27,2.81,0.02,-0.069,0.032,-0.019,0.102
