,Task,P1,P2,P3,P4
0,loss_pindep_fit,54.67%,44.00%,1.33%,0.00%
1,loss_pindep_fit,35.67%,50.67%,5.67%,8.00%
2,loss_pindep_fit,18.67%,70.00%,4.33%,7.00%
3,loss_pindep_fit,33.33%,56.33%,9.33%,1.00%
4,loss_pindep_fit,63.33%,27.67%,8.00%,1.00%
5,loss_pindep_fit,43.00%,52.67%,3.00%,1.33%
6,loss_pindep_fit,52.00%,43.00%,5.00%,0.00%
7,loss_pindep_fit,25.00%,70.67%,3.67%,0.67%
8,loss_pindep_fit,33.00%,46.33%,17.33%,3.33%
9,loss_pindep_fit,7.00%,84.00%,8.67%,0.33%
10,loss_pindep_fit,40.00%,40.67%,7.67%,11.67%
11,loss_pindep_fit,26.67%,65.33%,2.33%,5.67%
12,loss_pindep_fit,6.33%,48.00%,38.33%,7.33%
13,loss_pindep_fit,28.33%,64.00%,6.00%,1.67%
14,loss_pindep_fit,23.67%,71.33%,2.33%,2.67%
15,loss_pindep_fit,66.33%,31.00%,0.67%,2.00%
16,loss_pindep_fit,92.33%,5.00%,1.00%,1.67%
17,loss_pindep_fit,47.67%,42.00%,9.33%,1.00%
18,loss_pindep_fit,36.33%,63.00%,0.00%,0.67%
19,loss_pindep_fit,53.33%,31.00%,14.00%,1.67%
20,loss_pindep_fit,50.33%,45.67%,2.33%,1.67%
21,loss_pindep_fit,43.00%,30.33%,13.00%,13.67%
22,loss_pindep_fit,13.33%,77.67%,7.33%,1.67%
23,loss_pindep_fit,12.67%,77.33%,8.33%,1.67%
24,loss_pindep_fit,61.33%,33.67%,4.67%,0.33%
25,loss_pindep_fit,30.67%,63.00%,6.33%,0.00%
26,loss_pindep_fit,63.67%,34.33%,1.67%,0.33%
27,loss_pindep_fit,66.00%,29.33%,3.67%,1.00%
