,Task,P1,P2,P3,P4
0,loss_pindepstar_fit,25.67%,73.67%,0.33%,0.33%
1,loss_pindepstar_fit,29.00%,53.00%,14.67%,3.33%
2,loss_pindepstar_fit,15.33%,58.67%,15.33%,10.67%
3,loss_pindepstar_fit,47.67%,44.67%,7.00%,0.67%
4,loss_pindepstar_fit,43.67%,39.67%,15.67%,1.00%
5,loss_pindepstar_fit,38.33%,50.67%,5.67%,5.33%
6,loss_pindepstar_fit,44.00%,52.00%,3.67%,0.33%
7,loss_pindepstar_fit,29.00%,51.33%,18.67%,1.00%
8,loss_pindepstar_fit,21.00%,63.00%,15.00%,1.00%
9,loss_pindepstar_fit,7.67%,90.33%,2.00%,0.00%
10,loss_pindepstar_fit,61.67%,26.67%,3.00%,8.67%
11,loss_pindepstar_fit,22.67%,60.00%,0.67%,16.67%
12,loss_pindepstar_fit,10.33%,38.67%,43.00%,8.00%
13,loss_pindepstar_fit,19.33%,67.67%,12.67%,0.33%
14,loss_pindepstar_fit,26.00%,68.67%,4.00%,1.33%
15,loss_pindepstar_fit,26.67%,64.33%,2.00%,7.00%
16,loss_pindepstar_fit,69.67%,29.33%,0.67%,0.33%
17,loss_pindepstar_fit,53.33%,42.00%,3.33%,1.33%
18,loss_pindepstar_fit,38.67%,60.67%,0.33%,0.33%
19,loss_pindepstar_fit,40.67%,42.33%,16.00%,1.00%
20,loss_pindepstar_fit,53.00%,40.67%,4.33%,2.00%
21,loss_pindepstar_fit,27.33%,28.67%,31.00%,13.00%
22,loss_pindepstar_fit,26.33%,63.33%,7.33%,3.00%
23,loss_pindepstar_fit,12.33%,76.00%,11.00%,0.67%
24,loss_pindepstar_fit,55.33%,32.00%,12.67%,0.00%
25,loss_pindepstar_fit,18.33%,66.00%,15.67%,0.00%
26,loss_pindepstar_fit,39.33%,58.67%,2.00%,0.00%
27,loss_pindepstar_fit,39.00%,49.67%,9.67%,1.67%
