,Task,P1,P2,P3,P4
0,outcome_pindep_fit,39.67%,31.67%,27.00%,1.67%
1,outcome_pindep_fit,23.00%,59.67%,9.33%,8.00%
2,outcome_pindep_fit,32.67%,52.33%,10.00%,5.00%
3,outcome_pindep_fit,11.33%,88.33%,0.00%,0.33%
4,outcome_pindep_fit,22.67%,29.33%,45.00%,3.00%
5,outcome_pindep_fit,25.00%,61.00%,8.33%,5.67%
6,outcome_pindep_fit,33.00%,40.67%,24.67%,1.67%
7,outcome_pindep_fit,15.33%,69.00%,13.67%,2.00%
8,outcome_pindep_fit,16.67%,48.67%,31.33%,3.33%
9,outcome_pindep_fit,67.67%,29.67%,2.00%,0.67%
10,outcome_pindep_fit,3.33%,2.33%,93.67%,0.67%
11,outcome_pindep_fit,41.67%,55.00%,3.33%,0.00%
12,outcome_pindep_fit,30.00%,51.67%,14.67%,3.67%
13,outcome_pindep_fit,25.33%,52.67%,6.67%,15.33%
14,outcome_pindep_fit,3.00%,91.00%,3.33%,2.67%
15,outcome_pindep_fit,9.33%,55.00%,3.00%,32.67%
16,outcome_pindep_fit,66.33%,14.67%,18.67%,0.33%
17,outcome_pindep_fit,39.00%,53.67%,0.67%,6.67%
18,outcome_pindep_fit,10.33%,33.00%,40.00%,16.67%
19,outcome_pindep_fit,41.67%,48.67%,3.33%,6.33%
20,outcome_pindep_fit,5.67%,17.67%,33.67%,43.00%
21,outcome_pindep_fit,33.67%,54.00%,7.33%,5.00%
22,outcome_pindep_fit,24.33%,62.00%,13.67%,0.00%
23,outcome_pindep_fit,43.33%,34.33%,3.67%,18.67%
24,outcome_pindep_fit,8.00%,16.33%,74.33%,1.33%
