,Task,P1,P2,P3,P4
0,outcome_pindepstar_fit,22.67%,37.00%,38.33%,2.00%
1,outcome_pindepstar_fit,15.33%,36.00%,8.67%,40.00%
2,outcome_pindepstar_fit,24.00%,48.33%,15.67%,12.00%
3,outcome_pindepstar_fit,0.67%,99.00%,0.33%,0.00%
4,outcome_pindepstar_fit,17.00%,38.67%,41.00%,3.33%
5,outcome_pindepstar_fit,22.33%,50.00%,13.33%,14.33%
6,outcome_pindepstar_fit,30.33%,40.67%,26.00%,3.00%
7,outcome_pindepstar_fit,10.33%,70.00%,18.00%,1.67%
8,outcome_pindepstar_fit,13.00%,39.67%,47.33%,0.00%
9,outcome_pindepstar_fit,49.00%,40.33%,3.67%,7.00%
10,outcome_pindepstar_fit,3.33%,2.33%,94.00%,0.33%
11,outcome_pindepstar_fit,32.33%,62.00%,5.00%,0.67%
12,outcome_pindepstar_fit,27.00%,53.67%,6.67%,12.67%
13,outcome_pindepstar_fit,13.67%,62.00%,6.33%,18.00%
14,outcome_pindepstar_fit,1.33%,71.00%,26.67%,1.00%
15,outcome_pindepstar_fit,8.67%,63.00%,4.00%,24.33%
16,outcome_pindepstar_fit,36.67%,26.33%,36.67%,0.33%
17,outcome_pindepstar_fit,16.00%,72.67%,5.33%,6.00%
18,outcome_pindepstar_fit,10.33%,39.67%,48.33%,1.67%
19,outcome_pindepstar_fit,29.00%,51.67%,10.67%,8.67%
20,outcome_pindepstar_fit,1.00%,37.00%,58.33%,3.67%
21,outcome_pindepstar_fit,29.67%,51.67%,12.33%,6.33%
22,outcome_pindepstar_fit,17.33%,58.33%,23.67%,0.67%
23,outcome_pindepstar_fit,30.00%,49.33%,3.00%,17.67%
24,outcome_pindepstar_fit,3.00%,4.67%,92.00%,0.33%
