,Task,P1,P2,P3,P4
0,random_pindepstar_fit,28.67%,45.00%,25.00%,1.33%
1,random_pindepstar_fit,30.33%,47.67%,14.33%,7.67%
2,random_pindepstar_fit,24.67%,71.67%,3.67%,0.00%
3,random_pindepstar_fit,15.33%,78.67%,5.67%,0.33%
4,random_pindepstar_fit,0.00%,100.00%,0.00%,0.00%
5,random_pindepstar_fit,0.00%,57.33%,42.67%,0.00%
6,random_pindepstar_fit,39.33%,55.33%,5.33%,0.00%
7,random_pindepstar_fit,7.67%,70.00%,22.00%,0.33%
8,random_pindepstar_fit,2.67%,97.33%,0.00%,0.00%
9,random_pindepstar_fit,12.33%,78.33%,6.00%,3.33%
10,random_pindepstar_fit,26.67%,56.67%,16.67%,0.00%
11,random_pindepstar_fit,28.67%,69.00%,1.00%,1.33%
12,random_pindepstar_fit,20.00%,62.33%,2.00%,15.67%
13,random_pindepstar_fit,0.00%,0.00%,0.00%,100.00%
14,random_pindepstar_fit,4.67%,80.67%,5.00%,9.67%
15,random_pindepstar_fit,0.33%,13.00%,86.67%,0.00%
16,random_pindepstar_fit,9.33%,84.33%,1.00%,5.33%
17,random_pindepstar_fit,0.67%,1.67%,86.33%,11.33%
18,random_pindepstar_fit,21.67%,73.67%,0.33%,4.33%
19,random_pindepstar_fit,1.00%,98.67%,0.33%,0.00%
20,random_pindepstar_fit,0.00%,0.00%,0.00%,100.00%
21,random_pindepstar_fit,18.33%,59.33%,22.33%,0.00%
22,random_pindepstar_fit,25.33%,73.00%,1.33%,0.33%
23,random_pindepstar_fit,14.33%,49.00%,32.67%,4.00%
24,random_pindepstar_fit,1.00%,98.33%,0.67%,0.00%
25,random_pindepstar_fit,4.00%,45.33%,50.67%,0.00%
26,random_pindepstar_fit,4.00%,13.67%,56.67%,25.67%
27,random_pindepstar_fit,0.67%,34.67%,64.67%,0.00%
