,Task,P1,P2,P3,P4
0,standard_pindepstar_fit,28.33%,61.00%,8.33%,2.33%
1,standard_pindepstar_fit,23.00%,30.33%,11.00%,35.67%
2,standard_pindepstar_fit,0.33%,1.33%,97.33%,1.00%
3,standard_pindepstar_fit,14.00%,8.00%,23.67%,54.33%
4,standard_pindepstar_fit,53.67%,10.00%,32.00%,4.33%
5,standard_pindepstar_fit,25.00%,66.67%,2.33%,6.00%
6,standard_pindepstar_fit,23.33%,3.67%,51.33%,21.67%
7,standard_pindepstar_fit,22.00%,48.33%,4.67%,25.00%
8,standard_pindepstar_fit,19.67%,54.00%,25.33%,1.00%
9,standard_pindepstar_fit,41.67%,25.00%,10.33%,23.00%
10,standard_pindepstar_fit,7.67%,90.00%,0.33%,2.00%
11,standard_pindepstar_fit,19.00%,37.33%,17.00%,26.67%
12,standard_pindepstar_fit,3.00%,2.00%,2.00%,93.00%
13,standard_pindepstar_fit,21.33%,73.33%,2.67%,2.67%
14,standard_pindepstar_fit,10.33%,86.33%,1.00%,2.33%
15,standard_pindepstar_fit,4.00%,57.00%,22.67%,16.33%
16,standard_pindepstar_fit,16.33%,63.33%,20.33%,0.00%
17,standard_pindepstar_fit,39.00%,51.33%,0.67%,9.00%
18,standard_pindepstar_fit,16.00%,30.00%,52.33%,1.67%
19,standard_pindepstar_fit,3.67%,8.67%,41.33%,46.33%
20,standard_pindepstar_fit,1.00%,54.33%,16.00%,28.67%
21,standard_pindepstar_fit,38.67%,6.67%,25.00%,29.67%
22,standard_pindepstar_fit,10.67%,67.67%,21.33%,0.33%
23,standard_pindepstar_fit,3.67%,85.33%,1.00%,10.00%
24,standard_pindepstar_fit,0.00%,6.33%,0.00%,93.67%
25,standard_pindepstar_fit,2.33%,89.67%,2.67%,5.33%
26,standard_pindepstar_fit,2.67%,86.33%,4.00%,7.00%
27,standard_pindepstar_fit,0.00%,0.33%,0.00%,99.67%
28,standard_pindepstar_fit,2.33%,68.00%,29.67%,0.00%
29,standard_pindepstar_fit,25.33%,63.00%,9.67%,2.00%
30,standard_pindepstar_fit,18.33%,53.33%,18.67%,9.67%
31,standard_pindepstar_fit,10.33%,5.00%,8.33%,76.33%
