,Beta,etaPos,etaNeg,p1,p2,p3,p4
0,3.352,0.055,0.371,0.113,0.034,-0.014,0.018
1,2.354,0.01,0.124,-0.317,-0.069,0.028,0.033
2,2.275,0.012,0.099,-0.133,-0.017,0.006,0.041
3,1.657,0.02,0.14,-0.113,0.058,-0.013,0.024
4,4.654,0.007,0.009,0.073,0.08,-0.021,0.031
5,2.834,0.012,0.131,-0.068,-0.121,-0.01,0.029
6,2.349,0.029,0.301,-0.399,-0.046,0.003,0.005
7,3.683,0.018,0.026,-0.885,-0.007,-0.01,0.023
8,4.922,0.011,0.009,-0.714,0.138,0.0,0.003
9,2.704,0.018,0.505,-0.31,-0.134,-0.008,0.014
10,2.231,0.014,0.021,-0.229,0.03,0.001,0.031
11,2.729,0.015,0.166,-0.008,-0.039,0.024,0.032
12,3.254,0.014,0.118,-0.158,-0.001,-0.027,-0.013
13,4.919,0.005,0.006,-0.819,0.103,0.014,0.012
14,6.37,0.013,0.039,0.159,0.117,0.012,0.01
15,1.881,0.047,0.826,-0.07,-0.135,0.017,0.014
16,3.23,0.019,0.031,-0.351,0.011,-0.005,0.051
17,2.465,0.014,0.046,-0.672,0.023,0.026,0.016
18,2.666,0.006,0.049,-0.326,0.133,0.01,0.038
19,2.67,0.003,0.168,0.245,-0.083,0.025,0.035
20,3.649,0.026,0.022,-0.69,-0.116,-0.008,0.008
21,16.733,0.004,0.012,0.495,0.213,0.026,0.038
22,2.041,0.012,0.026,0.1,-0.022,0.01,0.014
23,3.726,0.008,0.008,-0.321,0.057,-0.007,0.039
24,4.593,0.008,0.007,-0.621,0.086,0.014,0.009
25,3.163,0.011,0.02,-0.413,-0.152,0.01,0.018
26,3.247,0.015,0.033,-1.227,-0.042,-0.005,-0.009
27,3.661,0.014,0.008,-0.91,0.069,-0.016,0.028
