,Beta,etaPos,etaNeg,p1,p2,p3,p4
0,2.111,0.024,0.657,-0.162,-0.112,-0.001,0.013
1,1.645,0.029,0.026,-1.746,-0.048,0.048,-0.009
2,2.686,0.012,0.007,0.046,0.086,-0.036,0.054
3,1.943,0.119,0.189,-0.183,0.206,0.018,-0.017
4,1.835,0.012,0.083,-0.53,0.063,-0.031,0.01
5,1.582,0.034,0.711,-0.23,-0.152,0.017,0.026
6,1.753,0.01,0.28,-0.294,0.136,-0.02,0.021
7,1.458,0.023,0.106,-0.8,-0.14,0.042,-0.024
8,2.083,0.004,0.083,0.344,0.035,0.024,0.09
9,1.558,0.026,0.052,-1.177,0.099,0.05,0.003
10,3.293,0.04,0.028,-0.845,0.015,0.07,0.042
11,1.145,0.034,0.075,-0.833,-0.189,0.018,0.002
12,2.123,0.005,0.016,-0.943,0.193,-0.01,-0.044
13,2.059,0.003,0.21,0.304,0.051,0.064,0.05
14,1.979,0.008,0.077,0.407,-0.024,0.068,0.041
15,2.212,0.016,0.013,-0.058,-0.024,0.007,0.053
16,3.496,0.034,0.029,-0.894,0.024,0.014,0.029
17,2.733,0.029,0.016,-1.984,0.114,0.043,0.03
18,2.11,0.017,0.008,-1.496,0.168,0.009,0.085
19,1.757,0.017,0.004,-0.392,0.069,0.005,0.02
20,2.574,0.01,0.001,-0.429,-0.005,0.009,0.011
21,1.83,0.031,0.176,-0.034,0.147,0.025,-0.003
22,2.471,0.037,0.041,-0.723,-0.063,0.01,0.102
23,2.409,0.054,0.144,0.292,-0.136,0.059,0.02
24,2.133,0.02,0.007,-1.546,-0.064,0.035,-0.054
25,3.085,0.007,0.007,-0.852,-0.049,0.034,0.015
26,2.227,0.005,0.006,0.372,-0.154,0.031,0.023
27,3.144,0.001,0.009,-0.947,-0.24,0.079,-0.035
28,2.028,0.016,0.034,0.082,-0.216,-0.031,0.084
29,2.768,0.038,0.046,-0.959,-0.037,0.007,0.012
30,1.658,0.012,0.19,-0.213,-0.157,-0.032,-0.006
31,1.75,0.052,0.154,-1.126,0.129,0.027,-0.042
