,Beta,etaPos,etaNeg,p1,p2,p3,p4
0,2.145,0.008,0.016,0.955,0.228,0.471,0.43
1,2.6,0.021,0.006,-4.197,0.081,0.087,0.5
2,1.561,0.024,0.005,-5.116,0.36,0.082,0.211
3,2.599,0.043,0.012,-1.959,0.616,0.47,0.125
4,2.673,0.02,0.004,-4.02,0.517,0.236,0.327
5,1.302,0.039,0.015,-3.359,0.492,0.466,0.254
6,3.962,0.003,0.015,0.291,0.011,0.537,0.566
7,2.343,0.013,0.023,-1.696,0.001,0.085,0.046
8,1.526,0.017,0.006,-2.903,0.339,0.444,0.226
9,1.707,0.021,0.007,-4.404,0.421,0.249,0.351
10,1.512,0.057,0.014,-3.236,0.308,0.461,0.372
11,1.87,0.035,0.011,-6.27,0.429,0.021,0.331
12,2.331,0.016,0.009,-1.045,0.269,0.326,0.541
13,2.361,0.025,0.007,0.952,0.253,0.428,0.29
14,2.066,0.006,0.001,-0.225,0.216,0.347,0.166
15,1.532,0.032,0.012,-2.867,0.721,0.368,0.225
16,2.399,0.022,0.006,-5.105,0.482,0.272,0.176
17,1.658,0.031,0.01,-0.917,0.316,0.423,0.399
18,2.021,0.017,0.004,-4.738,0.452,0.218,0.203
19,3.459,0.004,0.001,-3.233,0.45,0.227,0.256
20,3.455,0.011,0.003,-3.078,0.75,0.011,0.104
21,2.675,0.005,0.006,0.804,0.305,0.309,0.52
22,5.19,0.008,0.004,-1.474,0.354,0.473,-0.097
23,1.469,0.013,0.014,-1.606,-0.038,0.475,0.02
