,Beta,eta,p1,p2,p3,p4
0,1.601,0.046,-0.573,-0.04,0.072,0.074
1,1.5,0.029,-1.692,-0.101,0.048,-0.017
2,2.828,0.009,0.228,0.093,-0.036,0.03
3,1.75,0.125,-0.201,0.336,0.036,-0.01
4,1.869,0.021,-1.372,0.359,0.006,0.054
5,1.613,0.076,-0.716,-0.083,0.072,0.065
6,2.151,0.016,-1.039,0.301,-0.013,0.007
7,1.531,0.04,-2.097,-0.13,0.086,-0.0
8,1.606,0.027,-0.203,-0.096,0.017,0.148
9,1.49,0.027,-1.296,0.172,0.073,0.011
10,2.923,0.035,-0.643,-0.098,0.072,0.042
11,1.076,0.037,-1.154,-0.254,0.029,0.008
12,1.791,0.012,-1.313,0.32,0.004,-0.045
13,1.623,0.014,-0.132,-0.103,0.092,0.079
14,2.069,0.015,0.654,0.057,0.133,0.085
15,2.123,0.018,0.697,-0.066,0.011,0.032
16,3.612,0.031,-0.73,0.003,0.003,0.044
17,2.734,0.026,-1.196,-0.001,0.038,-0.001
18,2.191,0.015,-0.515,0.083,-0.01,0.072
19,2.203,0.015,0.207,0.236,-0.012,-0.009
20,2.875,0.008,-0.279,-0.113,-0.022,-0.012
21,1.879,0.033,-0.654,0.429,0.041,0.016
22,2.249,0.041,-0.362,-0.086,-0.004,0.116
23,2.427,0.063,0.5,-0.13,0.094,0.027
24,2.257,0.014,-1.595,-0.254,-0.035,-0.066
25,2.996,0.007,-0.757,-0.08,0.043,0.009
26,2.066,0.005,0.625,-0.186,0.025,0.016
27,3.753,0.003,-1.737,-0.176,0.131,-0.038
28,1.85,0.021,0.172,-0.321,-0.027,0.128
29,2.677,0.039,-1.013,-0.03,0.01,0.014
30,1.33,0.032,-0.284,-0.135,0.013,0.039
31,1.928,0.055,-1.942,0.245,0.054,-0.025
