,Beta,etaPos,etaNeg,m,b
0,2.026,0.04,0.249,0.05,1.631
1,3.852,0.011,0.076,0.057,-0.179
2,2.576,0.005,0.03,0.095,5.112
3,2.751,0.051,0.026,0.032,-1.855
4,1.407,0.021,0.008,0.015,1.272
5,1.613,0.082,0.414,0.095,2.599
6,3.169,0.007,0.007,0.102,2.747
7,1.792,0.035,0.03,0.034,0.45
8,1.574,0.035,0.025,0.134,2.509
9,1.657,0.02,0.543,0.024,-0.426
10,2.976,0.032,0.053,0.09,0.819
11,1.995,0.018,0.01,0.061,-1.191
12,2.312,0.013,0.007,-0.006,0.075
13,1.821,0.034,0.038,0.05,-1.633
14,2.764,0.014,0.015,0.086,-1.875
15,2.088,0.034,0.021,0.045,-1.578
16,3.432,0.022,0.836,0.007,1.194
17,4.824,0.023,0.01,0.12,0.521
18,2.223,0.087,0.044,0.069,-1.201
19,1.945,0.05,0.042,-0.026,-1.939
20,2.349,0.013,0.005,0.04,1.621
21,2.601,0.027,0.091,-0.096,-4.828
22,1.826,0.03,0.081,0.077,2.996
23,3.069,0.049,0.051,0.115,0.191
24,1.641,0.045,0.064,0.087,2.643
25,1.606,0.047,0.049,-0.035,-2.847
26,1.466,0.008,0.094,0.018,-0.146
27,2.836,0.006,0.002,0.066,0.56
28,2.457,0.026,0.068,0.109,1.825
29,3.674,0.015,0.059,0.029,1.355
30,1.779,0.014,0.143,0.052,3.091
31,2.361,0.053,0.097,0.132,6.562
