,Beta,etaPos,etaNeg,m,b
0,3.558,0.011,0.048,0.067,0.938
1,7.049,0.001,0.025,0.068,1.256
2,3.534,0.006,0.084,0.026,1.283
3,2.833,0.039,0.152,0.063,1.082
4,3.517,0.012,0.176,0.034,1.024
5,2.027,0.025,0.505,0.037,0.928
6,13.924,0.001,0.023,0.092,1.073
7,3.741,0.006,0.126,0.014,1.426
8,2.302,0.005,0.078,0.046,1.061
9,2.849,0.001,0.216,0.036,1.205
10,2.021,0.054,0.212,0.062,1.172
11,2.846,0.013,0.408,0.041,1.299
12,3.641,0.015,0.212,0.031,0.94
13,2.825,0.023,0.043,0.045,1.01
14,2.508,0.006,0.057,0.035,1.21
15,1.685,0.02,0.164,0.055,0.686
16,5.624,0.009,0.038,0.045,0.745
17,2.366,0.035,0.104,0.053,1.137
18,4.114,0.013,0.023,0.044,1.125
19,2.381,0.011,0.196,0.03,1.288
20,2.611,0.002,0.376,0.038,1.176
21,7.876,0.001,0.012,0.075,0.962
22,4.046,0.003,0.382,0.02,1.305
23,1.593,0.036,0.074,0.036,0.97
